t(s),T_pred(°C),residual(°C)
19.000000,25.052914,4.977086
19.500000,25.103436,5.376564
20.000000,25.199112,5.750888
20.500000,25.372974,6.067026
21.000000,25.668404,6.281596
21.500000,26.124714,6.365286
22.000000,26.754044,6.295956
22.500000,27.532063,6.097937
23.000000,28.414191,5.815809
23.500000,29.358010,5.491990
24.000000,30.333530,5.156470
24.500000,31.322710,4.827290
25.000000,32.315608,4.524392
25.500000,33.307001,4.242999
26.000000,34.294223,3.985777
26.500000,35.275939,3.744061
27.000000,36.251497,3.538503
27.500000,37.220592,3.359408
28.000000,38.183093,3.206907
28.500000,39.138959,3.091041
29.000000,40.088190,2.991810
29.500000,41.030812,2.909188
30.000000,41.966860,2.863140
30.500000,42.896372,2.843628
31.000000,43.819393,2.840607
31.500000,44.735966,2.864034
32.000000,45.646136,2.903864
32.500000,46.549946,2.960054
33.000000,47.447442,3.042558
33.500000,48.338667,3.141333
34.000000,49.223665,3.256335
34.500000,50.102479,3.377521
35.000000,50.975153,3.514847
35.500000,51.841729,3.668271
36.000000,52.702251,3.827749
36.500000,53.556760,4.003240
37.000000,54.405298,4.184702
37.500000,55.247908,4.362092
38.000000,56.084630,4.555370
38.500000,56.915506,4.754494
39.000000,57.740576,4.959424
39.500000,58.559882,5.170118
40.000000,59.373463,5.376537
40.500000,60.181359,5.588641
41.000000,60.983611,5.806389
41.500000,61.780257,6.019743
42.000000,62.571337,6.238663
42.500000,63.356889,6.453111
43.000000,64.136953,6.673047
43.500000,64.911566,6.888434
44.000000,65.680768,7.109232
44.500000,66.444594,7.325406
45.000000,67.203084,7.546916
45.500000,67.956274,7.753726
46.000000,68.704201,7.965799
46.500000,69.446902,8.183098
47.000000,70.184414,8.385586
47.500000,70.916773,8.593227
48.000000,71.644015,8.795985
48.500000,72.366176,9.003824
49.000000,73.083291,9.196709
49.500000,73.795395,9.394605
50.000000,74.502524,9.587476
50.500000,75.204711,9.785289
51.000000,75.901993,9.968007
51.500000,76.594403,10.155597
52.000000,77.281974,10.338026
52.500000,77.964742,10.515258
53.000000,78.642739,10.697261
53.500000,79.315999,10.864001
54.000000,79.984554,11.035446
54.500000,80.648438,11.201562
55.000000,81.307684,11.372316
55.500000,81.962323,11.527677
56.000000,82.612389,11.687611
56.500000,83.257912,11.842088
57.000000,83.898925,12.001075
57.500000,84.535459,12.144541
58.000000,85.167546,12.292454
58.500000,85.795216,12.434784
59.000000,86.418500,12.571500
59.500000,87.037430,12.712570
60.000000,87.652035,12.847965
60.500000,88.262345,12.977655
61.000000,88.868392,13.101608
61.500000,89.470203,13.229797
62.000000,90.067810,13.352190
62.500000,90.661242,13.468758
63.000000,91.250527,13.589473
63.500000,91.835694,13.704306
64.000000,92.416773,13.813227
64.500000,92.993792,13.916208
65.000000,93.566779,14.023221
65.500000,94.135763,14.124237
66.000000,94.700771,14.229229
66.500000,95.261831,14.328169
67.000000,95.818971,14.421029
67.500000,96.372219,14.517781
68.000000,96.921600,14.598400
68.500000,97.467143,14.692857
69.000000,98.008875,14.781125
69.500000,98.546821,14.863179
70.000000,99.081008,14.938992
70.500000,99.611464,15.018536
71.000000,100.138212,15.091788
71.500000,100.661281,15.168719
72.000000,101.180694,15.239306
72.500000,101.696478,15.303522
73.000000,102.208659,15.371341
73.500000,102.717261,15.432739
74.000000,103.222309,15.497691
74.500000,103.723828,15.556172
75.000000,104.221843,15.618157
75.500000,104.716379,15.673621
76.000000,105.207459,15.722541
76.500000,105.695107,15.774893
77.000000,106.179349,15.830651
77.500000,106.660207,15.879793
78.000000,107.137705,15.922295
78.500000,107.611867,15.968133
79.000000,108.082716,16.007284
79.500000,108.550275,16.049725
80.000000,109.014568,16.085432
80.500000,109.475616,16.124384
81.000000,109.933442,16.156558
81.500000,110.388070,16.191930
82.000000,110.839521,16.220479
82.500000,111.287818,16.252182
83.000000,111.732983,16.287017
83.500000,112.175037,16.314963
84.000000,112.614003,16.335997
84.500000,113.049901,16.360099
85.000000,113.482754,16.377246
85.500000,113.912582,16.397418
86.000000,114.339407,16.420593
86.500000,114.763250,16.436750
87.000000,115.184131,16.455869
87.500000,115.602072,16.467928
88.000000,116.017092,16.482908
88.500000,116.429213,16.500787
89.000000,116.838454,16.511546
89.500000,117.244836,16.515164
90.000000,117.648378,16.521622
90.500000,118.049101,16.530899
91.000000,118.447023,16.532977
91.500000,118.842166,16.537834
92.000000,119.234547,16.545453
92.500000,119.624187,16.545813
93.000000,120.011105,16.548895
93.500000,120.395319,16.544681
94.000000,120.776848,16.543152
94.500000,121.155712,16.544288
95.000000,121.531928,16.538072
95.500000,121.905516,16.534484
96.000000,122.276493,16.523507
96.500000,122.644879,16.515121
97.000000,123.010690,16.509310
97.500000,123.373946,16.506054
98.000000,123.734663,16.495337
98.500000,124.092860,16.477140
99.000000,124.448555,16.471445
99.500000,124.801764,16.458236
100.000000,125.152505,16.437495
100.500000,125.500795,16.429205
101.000000,125.846652,16.413348
101.500000,126.190092,16.399908
102.000000,126.531133,16.378867
102.500000,126.869791,16.360209
103.000000,127.206082,16.343918
103.500000,127.540024,16.319976
104.000000,127.871632,16.298368
104.500000,128.200924,16.279076
105.000000,128.527915,16.252085
105.500000,128.852621,16.237379
106.000000,129.175058,16.204942
106.500000,129.495242,16.184758
107.000000,129.813190,16.156810
107.500000,130.128915,16.131085
108.000000,130.442435,16.107565
108.500000,130.753764,16.076236
109.000000,131.062918,16.047082
109.500000,131.369911,16.020089
110.000000,131.674760,15.995240
110.500000,131.977478,15.962522
111.000000,132.278082,15.931918
111.500000,132.576585,15.903415
112.000000,132.873003,15.866997
112.500000,133.167349,15.832651
113.000000,133.459639,15.800361
113.500000,133.749886,15.770114
114.000000,134.038106,15.741894
114.500000,134.324311,15.705689
115.000000,134.608517,15.671483
115.500000,134.890737,15.629263
116.000000,135.170985,15.599015
116.500000,135.449276,15.560724
117.000000,135.725621,15.524379
117.500000,136.000036,15.489964
118.000000,136.272533,15.447467
118.500000,136.543127,15.406873
119.000000,136.811830,15.368170
119.500000,137.078655,15.331345
120.000000,137.343616,15.296384
120.500000,137.606726,15.253274
121.000000,137.867997,15.212003
121.500000,138.127443,15.172557
122.000000,138.385075,15.134925
122.500000,138.640908,15.089092
123.000000,138.894954,15.045046
123.500000,139.147224,15.002776
124.000000,139.397732,14.962268
124.500000,139.646489,14.923511
125.000000,139.893508,14.876492
125.500000,140.138801,14.831199
126.000000,140.382381,14.787619
126.500000,140.624258,14.745742
127.000000,140.864446,14.705554
127.500000,141.102955,14.657045
128.000000,141.339797,14.610203
128.500000,141.574985,14.565015
129.000000,141.808530,14.521470
129.500000,142.040443,14.479557
130.000000,142.270735,14.429265
130.500000,142.499418,14.380582
131.000000,142.726504,14.343496
131.500000,142.952002,14.287998
132.000000,143.175926,14.244074
132.500000,143.398284,14.201716
133.000000,143.619089,14.150911
133.500000,143.838351,14.101649
134.000000,144.056082,14.053918
134.500000,144.272290,14.007710
135.000000,144.486989,13.963011
135.500000,144.700187,13.909813
136.000000,144.911895,13.868105
136.500000,145.122124,13.817876
137.000000,145.330885,13.769115
137.500000,145.538186,13.721814
138.000000,145.744039,13.675961
138.500000,145.948454,13.621546
139.000000,146.151441,13.578559
139.500000,146.353009,13.526991
140.000000,146.553169,13.476831
140.500000,146.751931,13.428069
141.000000,146.949303,13.380697
141.500000,147.145297,13.324703
142.000000,147.339921,13.280079
142.500000,147.533185,13.226815
143.000000,147.725099,13.174901
143.500000,147.915672,13.124328
144.000000,148.104914,13.075086
144.500000,148.292833,13.027167
145.000000,148.479439,12.980561
145.500000,148.664741,12.925259
146.000000,148.848749,12.881251
146.500000,149.031471,12.828529
147.000000,149.212916,12.777084
147.500000,149.393093,12.726907
148.000000,149.572012,12.677988
148.500000,149.749680,12.630320
149.000000,149.926107,12.573893
149.500000,150.101302,12.528698
150.000000,150.275272,12.474728
150.500000,150.448026,12.421974
151.000000,150.619574,12.370426
151.500000,150.789923,12.320077
152.000000,150.959082,12.270918
152.500000,151.127058,12.222942
153.000000,151.293861,12.176139
153.500000,151.459499,12.120501
154.000000,151.623979,12.076021
154.500000,151.787310,12.022690
155.000000,151.949500,11.970500
155.500000,152.110557,11.919443
156.000000,152.270488,11.869512
156.500000,152.429302,11.820698
157.000000,152.587006,11.772994
157.500000,152.743608,11.716392
158.000000,152.899116,11.670884
158.500000,153.053538,11.616462
159.000000,153.206881,11.563119
159.500000,153.359152,11.520848
160.000000,153.510359,11.469641
160.500000,153.660510,11.419490
161.000000,153.809611,11.370389
161.500000,153.957671,11.312329
162.000000,154.104697,11.265303
162.500000,154.250695,11.219305
163.000000,154.395674,11.164326
163.500000,154.539641,11.120359
164.000000,154.682603,11.067397
164.500000,154.824571,11.015429
165.000000,154.965554,10.964446
165.500000,155.105566,10.924434
166.000000,155.244630,10.875370
166.500000,155.382779,10.827221
167.000000,155.520078,10.769922
167.500000,155.656645,10.723355
168.000000,155.792708,10.677292
168.500000,155.928706,10.631294
169.000000,156.065480,10.584520
169.500000,156.204601,10.535399
170.000000,156.348849,10.481151
170.500000,156.502647,10.417353
171.000000,156.671795,10.338205
171.500000,156.861522,10.238478
172.000000,157.073411,10.116589
172.500000,157.304187,9.985813
173.000000,157.547905,9.832095
173.500000,157.798926,9.691074
174.000000,158.053273,9.536727
174.500000,158.308558,9.391442
175.000000,158.563468,9.246532
175.500000,158.817317,9.112683
176.000000,159.069758,8.980242
176.500000,159.320620,8.859380
177.000000,159.569822,8.740178
177.500000,159.817330,8.632670
178.000000,160.063131,8.526869
178.500000,160.307227,8.442773
179.000000,160.549624,8.350376
179.500000,160.790330,8.279670
180.000000,161.029355,8.210645
180.500000,161.266711,8.143289
181.000000,161.502409,8.097591
181.500000,161.736461,8.043539
182.000000,161.968877,8.011123
182.500000,162.199670,7.980330
183.000000,162.428849,7.951151
183.500000,162.656428,7.933572
184.000000,162.882416,7.927584
184.500000,163.106826,7.923174
185.000000,163.329667,7.920333
185.500000,163.550951,7.919049
186.000000,163.770690,7.929310
186.500000,163.988893,7.941107
187.000000,164.205571,7.954429
187.500000,164.420735,7.969265
188.000000,164.634396,7.985604
188.500000,164.846564,8.013436
189.000000,165.057250,8.032750
189.500000,165.266464,8.053536
190.000000,165.474215,8.085785
190.500000,165.680516,8.109484
191.000000,165.885374,8.134626
191.500000,166.088802,8.171198
192.000000,166.290808,8.199192
192.500000,166.491403,8.228597
193.000000,166.690597,8.249403
193.500000,166.888401,8.281599
194.000000,167.084824,8.305176
194.500000,167.279879,8.340121
195.000000,167.473579,8.366421
195.500000,167.665942,8.394058
196.000000,167.856993,8.423007
196.500000,168.046774,8.453226
197.000000,168.235356,8.494644
197.500000,168.422874,8.527126
198.000000,168.609584,8.570416
198.500000,168.795983,8.604017
199.000000,168.983031,8.646969
199.500000,169.172571,8.687429
200.000000,169.368024,8.721976
200.500000,169.575379,8.754621
201.000000,169.803974,8.776026
201.500000,170.065567,8.764433
202.000000,170.369933,8.720067
202.500000,170.718807,8.641193
203.000000,171.104474,8.525526
203.500000,171.514812,8.415188
204.000000,171.938940,8.291060
204.500000,172.369408,8.180592
205.000000,172.801814,8.088186
205.500000,173.233759,8.016241
206.000000,173.663992,7.956008
206.500000,174.091881,7.918119
207.000000,174.517114,7.902886
207.500000,174.939545,7.920455
208.000000,175.359109,7.960891
208.500000,175.775783,8.014217
209.000000,176.189568,8.090432
209.500000,176.600473,8.199527
210.000000,177.008512,8.311488
210.500000,177.413703,8.456297
211.000000,177.816064,8.613936
211.500000,178.215614,8.784386
212.000000,178.612373,8.967627
212.500000,179.006360,9.173640
213.000000,179.397594,9.382406
213.500000,179.786094,9.613906
214.000000,180.171881,9.848119
214.500000,180.554971,10.085029
215.000000,180.935385,10.324615
215.500000,181.313141,10.576859
216.000000,181.688258,10.821742
216.500000,182.060753,11.079247
217.000000,182.430646,11.329354
217.500000,182.797954,11.572046
218.000000,183.162696,11.827304
218.500000,183.524890,12.075110
219.000000,183.884552,12.315448
219.500000,184.241702,12.558298
220.000000,184.596356,12.793644
220.500000,184.948533,13.021467
221.000000,185.298248,13.251752
221.500000,185.645520,13.474480
222.000000,185.990366,13.699634
222.500000,186.332802,13.917198
223.000000,186.672846,14.117154
223.500000,187.010514,14.329486
224.000000,187.345824,14.524176
224.500000,187.678792,14.721208
225.000000,188.009435,14.910565
225.500000,188.337773,15.092227
226.000000,188.663825,15.266175
226.500000,188.987618,15.432382
227.000000,189.309183,15.580817
227.500000,189.628572,15.731428
228.000000,189.945869,15.864131
228.500000,190.261227,15.988773
229.000000,190.574929,16.105071
229.500000,190.887514,16.212486
230.000000,191.200004,16.309996
230.500000,191.514272,16.405728
231.000000,191.833550,16.476450
231.500000,192.162757,16.537243
232.000000,192.507818,16.572182
232.500000,192.873219,16.586781
233.000000,193.259109,16.570891
233.500000,193.661119,16.528881
234.000000,194.073146,16.476854
234.500000,194.489984,16.420016
235.000000,194.908165,16.351835
235.500000,195.325675,16.284325
236.000000,195.741430,16.208570
236.500000,196.154872,16.145128
237.000000,196.565725,16.074275
237.500000,196.973858,15.996142
238.000000,197.379217,15.920783
238.500000,197.781781,15.848219
239.000000,198.181552,15.778448
239.500000,198.578540,15.721460
240.000000,198.972758,15.657242
240.500000,199.364225,15.605775
241.000000,199.752957,15.557043
241.500000,200.138974,15.511026
242.000000,200.522294,15.477706
242.500000,200.902937,15.447063
243.000000,201.280919,15.419081
243.500000,201.656261,15.393739
244.000000,202.028980,15.381020
244.500000,202.399095,15.360905
245.000000,202.766623,15.353377
245.500000,203.131584,15.348416
246.000000,203.493995,15.356005
246.500000,203.853874,15.356126
247.000000,204.211238,15.358762
247.500000,204.566105,15.363895
248.000000,204.918493,15.371507
248.500000,205.268418,15.381582
249.000000,205.615899,15.394101
249.500000,205.960951,15.409049
250.000000,206.303593,15.426407
250.500000,206.643840,15.436160
251.000000,206.981711,15.458289
251.500000,207.317220,15.472780
252.000000,207.650386,15.489614
252.500000,207.981223,15.498777
253.000000,208.309749,15.520251
253.500000,208.635979,15.534021
254.000000,208.959930,15.550070
254.500000,209.281618,15.568382
255.000000,209.601057,15.578943
255.500000,209.918265,15.591735
256.000000,210.233257,15.606743
256.500000,210.546047,15.613953
257.000000,210.856652,15.633348
257.500000,211.165087,15.634913
258.000000,211.471367,15.648633
258.500000,211.775507,15.654493
259.000000,212.077521,15.662479
259.500000,212.377426,15.672574
260.000000,212.675235,15.674765
260.500000,212.970963,15.679037
261.000000,213.264625,15.685375
261.500000,213.556235,15.683765
262.000000,213.845808,15.684192
262.500000,214.133357,15.686643
263.000000,214.418897,15.691103
263.500000,214.702442,15.687558
264.000000,214.984006,15.685994
264.500000,215.263602,15.676398
265.000000,215.541245,15.678755
265.500000,215.816948,15.673052
266.000000,216.090725,15.659275
266.500000,216.362589,15.657411
267.000000,216.632553,15.647447
267.500000,216.900631,15.629369
268.000000,217.166836,15.623164
268.500000,217.431181,15.608819
269.000000,217.693678,15.596322
269.500000,217.954342,15.585658
270.000000,218.213185,15.566815
270.500000,218.470218,15.549782
271.000000,218.725456,15.534544
271.500000,218.978911,15.521089
272.000000,219.230595,15.499405
272.500000,219.480520,15.479480
273.000000,219.728699,15.461301
273.500000,219.975143,15.434857
274.000000,220.219866,15.420134
274.500000,220.462879,15.397121
275.000000,220.704194,15.375806
275.500000,220.943823,15.346177
276.000000,221.181778,15.318222
276.500000,221.418070,15.291930
277.000000,221.652710,15.267290
277.500000,221.885712,15.244288
278.000000,222.117085,15.212915
278.500000,222.346842,15.183158
279.000000,222.574994,15.155006
279.500000,222.801551,15.128449
280.000000,223.026526,15.093474
280.500000,223.249928,15.070072
281.000000,223.471770,15.038230
281.500000,223.692061,14.997939
282.000000,223.910813,14.969187
282.500000,224.128036,14.931964
283.000000,224.343741,14.896259
283.500000,224.557938,14.862062
284.000000,224.770636,14.829364
284.500000,224.981844,14.798156
285.000000,225.191569,14.758431
285.500000,225.399811,14.720189
286.000000,225.606567,14.683433
286.500000,225.811815,14.648185
287.000000,226.015503,14.604497
287.500000,226.217518,14.562482
288.000000,226.417623,14.522377
288.500000,226.615342,14.474658
289.000000,226.809719,14.420281
289.500000,226.998855,14.371145
290.000000,227.179007,14.320993
290.500000,227.342891,14.287109
291.000000,227.476644,14.273356
291.500000,227.554994,14.305006
292.000000,227.535464,14.424536
292.500000,227.356696,14.683304
293.000000,226.951779,15.168221
293.500000,226.281038,15.898962
294.000000,225.359725,16.870275
294.500000,224.247965,18.012035
295.000000,223.015378,19.264622
295.500000,221.716402,20.563598
296.000000,220.385650,21.884350
296.500000,219.042775,23.197225
297.000000,217.698276,24.501724
297.500000,216.357576,25.782424
298.000000,215.023412,27.046588
298.500000,213.697144,28.282856
299.000000,212.379422,29.510578
299.500000,211.070546,30.709454
300.000000,209.770634,31.889366
300.500000,208.479712,33.040288
301.000000,207.197764,34.172236
301.500000,205.924750,35.275250
302.000000,204.660619,36.349381
302.500000,203.405315,37.404685
303.000000,202.158778,38.431222
303.500000,200.920950,39.429050
304.000000,199.691770,40.408230
304.500000,198.471178,41.348822
305.000000,197.259115,42.270885
305.500000,196.055520,43.164480
306.000000,194.860335,44.029665
306.500000,193.673500,44.866500
307.000000,192.494958,45.675042
307.500000,191.324651,46.455349
308.000000,190.162521,47.207479
308.500000,189.008511,47.941489
309.000000,187.862563,48.637437
309.500000,186.724623,49.315377
310.000000,185.594634,49.955366
310.500000,184.472540,50.577460
311.000000,183.358286,51.171714
311.500000,182.251818,51.748182
312.000000,181.153081,52.286919
312.500000,180.062021,52.807979
313.000000,178.978584,53.311416
313.500000,177.902717,53.787283
314.000000,176.834368,54.235632
314.500000,175.773483,54.676517
315.000000,174.720010,55.079990
315.500000,173.673899,55.476101
316.000000,172.635097,55.844903
