t(s),T_pred(°C),residual(°C)
19.000000,25.063710,4.966290
19.500000,25.131782,5.348218
20.000000,25.262381,5.687619
20.500000,25.499792,5.940208
21.000000,25.903019,6.046981
21.500000,26.525445,5.964555
22.000000,27.383115,5.666885
22.500000,28.442120,5.187880
23.000000,29.640935,4.589065
23.500000,30.921155,3.928845
24.000000,32.241544,3.248456
24.500000,33.577329,2.572671
25.000000,34.914886,1.925114
25.500000,36.247086,1.302914
26.000000,37.570316,0.709684
26.500000,38.882795,0.137205
27.000000,40.183681,-0.393681
27.500000,41.472609,-0.892609
28.000000,42.749452,-1.359452
28.500000,44.014206,-1.784206
29.000000,45.266924,-2.186924
29.500000,46.507693,-2.567693
30.000000,47.736610,-2.906610
30.500000,48.953781,-3.213781
31.000000,50.159314,-3.499314
31.500000,51.353320,-3.753320
32.000000,52.535907,-3.985907
32.500000,53.707184,-4.197184
33.000000,54.867258,-4.377258
33.500000,56.016238,-4.536238
34.000000,57.154228,-4.674228
34.500000,58.281335,-4.801335
35.000000,59.397661,-4.907661
35.500000,60.503311,-4.993311
36.000000,61.598386,-5.068386
36.500000,62.682988,-5.122988
37.000000,63.757216,-5.167216
37.500000,64.821170,-5.211170
38.000000,65.874948,-5.234948
38.500000,66.918647,-5.248647
39.000000,67.952364,-5.252364
39.500000,68.976195,-5.246195
40.000000,69.990233,-5.240233
40.500000,70.994573,-5.224573
41.000000,71.989307,-5.199307
41.500000,72.974527,-5.174527
42.000000,73.950324,-5.140324
42.500000,74.916788,-5.106788
43.000000,75.874009,-5.064009
43.500000,76.822075,-5.022075
44.000000,77.761073,-4.971073
44.500000,78.691091,-4.921091
45.000000,79.612213,-4.862213
45.500000,80.524526,-4.814526
46.000000,81.428113,-4.758113
46.500000,82.323058,-4.693058
47.000000,83.209444,-4.639444
47.500000,84.087352,-4.577352
48.000000,84.956863,-4.516863
48.500000,85.818058,-4.448058
49.000000,86.671017,-4.391017
49.500000,87.515817,-4.325817
50.000000,88.352538,-4.262538
50.500000,89.181256,-4.191256
51.000000,90.002048,-4.132048
51.500000,90.814990,-4.064990
52.000000,91.620156,-4.000156
52.500000,92.417622,-3.937622
53.000000,93.207461,-3.867461
53.500000,93.989745,-3.809745
54.000000,94.764547,-3.744547
54.500000,95.531939,-3.681939
55.000000,96.291992,-3.611992
55.500000,97.044775,-3.554775
56.000000,97.790358,-3.490358
56.500000,98.528811,-3.428811
57.000000,99.260200,-3.360200
57.500000,99.984595,-3.304595
58.000000,100.702061,-3.242061
58.500000,101.412665,-3.182665
59.000000,102.116473,-3.126473
59.500000,102.813549,-3.063549
60.000000,103.503958,-3.003958
60.500000,104.187765,-2.947765
61.000000,104.865031,-2.895031
61.500000,105.535819,-2.835819
62.000000,106.200192,-2.780192
62.500000,106.858210,-2.728210
63.000000,107.509936,-2.669936
63.500000,108.155427,-2.615427
64.000000,108.794746,-2.564746
64.500000,109.427949,-2.517949
65.000000,110.055097,-2.465097
65.500000,110.676246,-2.416246
66.000000,111.291455,-2.361455
66.500000,111.900779,-2.310779
67.000000,112.504276,-2.264276
67.500000,113.102001,-2.212001
68.000000,113.694009,-2.174009
68.500000,114.280355,-2.120355
69.000000,114.861093,-2.071093
69.500000,115.436276,-2.026276
70.000000,116.005959,-1.985959
70.500000,116.570192,-1.940192
71.000000,117.129030,-1.899030
71.500000,117.682522,-1.852522
72.000000,118.230721,-1.810721
72.500000,118.773677,-1.773677
73.000000,119.311439,-1.731439
73.500000,119.844059,-1.694059
74.000000,120.371584,-1.651584
74.500000,120.894064,-1.614064
75.000000,121.411547,-1.571547
75.500000,121.924080,-1.534080
76.000000,122.431711,-1.501711
76.500000,122.934488,-1.464488
77.000000,123.432455,-1.422455
77.500000,123.925660,-1.385660
78.000000,124.414148,-1.354148
78.500000,124.897964,-1.317964
79.000000,125.377152,-1.287152
79.500000,125.851758,-1.251758
80.000000,126.321824,-1.221824
80.500000,126.787394,-1.187394
81.000000,127.248511,-1.158511
81.500000,127.705219,-1.125219
82.000000,128.157558,-1.097558
82.500000,128.605571,-1.065571
83.000000,129.049299,-1.029299
83.500000,129.488783,-0.998783
84.000000,129.924063,-0.974063
84.500000,130.355181,-0.945181
85.000000,130.782175,-0.922175
85.500000,131.205086,-0.895086
86.000000,131.623951,-0.863951
86.500000,132.038811,-0.838811
87.000000,132.449702,-0.809702
87.500000,132.856664,-0.786664
88.000000,133.259733,-0.759733
88.500000,133.658948,-0.728948
89.000000,134.054344,-0.704344
89.500000,134.445958,-0.685958
90.000000,134.833827,-0.663827
90.500000,135.217987,-0.637987
91.000000,135.598472,-0.618472
91.500000,135.975318,-0.595318
92.000000,136.348560,-0.568560
92.500000,136.718232,-0.548232
93.000000,137.084368,-0.524368
93.500000,137.447003,-0.507003
94.000000,137.806169,-0.486169
94.500000,138.161900,-0.461900
95.000000,138.514229,-0.444229
95.500000,138.863188,-0.423188
96.000000,139.208810,-0.408810
96.500000,139.551126,-0.391126
97.000000,139.890168,-0.370168
97.500000,140.225967,-0.345967
98.000000,140.558554,-0.328554
98.500000,140.887961,-0.317961
99.000000,141.214217,-0.294217
99.500000,141.537353,-0.277353
100.000000,141.857398,-0.267398
100.500000,142.174382,-0.244382
101.000000,142.488335,-0.228335
101.500000,142.799284,-0.209284
102.000000,143.107260,-0.197260
102.500000,143.412290,-0.182290
103.000000,143.714403,-0.164403
103.500000,144.013626,-0.153626
104.000000,144.309988,-0.139988
104.500000,144.603515,-0.123515
105.000000,144.894234,-0.114234
105.500000,145.182173,-0.092173
106.000000,145.467358,-0.087358
106.500000,145.749816,-0.069816
107.000000,146.029572,-0.059572
107.500000,146.306652,-0.046652
108.000000,146.581083,-0.031083
108.500000,146.852888,-0.022888
109.000000,147.122094,-0.012094
109.500000,147.388725,0.001275
110.000000,147.652806,0.017194
110.500000,147.914361,0.025639
111.000000,148.173415,0.036585
111.500000,148.429991,0.050009
112.000000,148.684113,0.055887
112.500000,148.935805,0.064195
113.000000,149.185089,0.074911
113.500000,149.431989,0.088011
114.000000,149.676527,0.103473
114.500000,149.918727,0.111273
115.000000,150.158610,0.121390
115.500000,150.396199,0.123801
116.000000,150.631515,0.138485
116.500000,150.864581,0.145419
117.000000,151.095417,0.154583
117.500000,151.324046,0.165954
118.000000,151.550488,0.169512
118.500000,151.774764,0.175236
119.000000,151.996895,0.183105
119.500000,152.216901,0.193099
120.000000,152.434803,0.205197
120.500000,152.650621,0.209379
121.000000,152.864374,0.215626
121.500000,153.076083,0.223917
122.000000,153.285767,0.234233
122.500000,153.493446,0.236554
123.000000,153.699137,0.240863
123.500000,153.902862,0.247138
124.000000,154.104637,0.255363
124.500000,154.304483,0.265517
125.000000,154.502417,0.267583
125.500000,154.698457,0.271543
126.000000,154.892622,0.277378
126.500000,155.084930,0.285070
127.000000,155.275398,0.294602
127.500000,155.464044,0.295956
128.000000,155.650885,0.299115
128.500000,155.835939,0.304061
129.000000,156.019222,0.310778
129.500000,156.200752,0.319248
130.000000,156.380545,0.319455
130.500000,156.558618,0.321382
131.000000,156.734986,0.335014
131.500000,156.909668,0.330332
132.000000,157.082678,0.337322
132.500000,157.254032,0.345968
133.000000,157.423747,0.346253
133.500000,157.591837,0.348163
134.000000,157.758319,0.351681
134.500000,157.923207,0.356793
135.000000,158.086517,0.363483
135.500000,158.248264,0.361736
136.000000,158.408463,0.371537
136.500000,158.567128,0.372872
137.000000,158.724275,0.375725
137.500000,158.879916,0.380084
138.000000,159.034068,0.385932
138.500000,159.186743,0.383257
