企业代号,企业名称,信誉评级,是否违约,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E1,***电器销售有限公司,A,否,78.882400,较低风险,信用得分=78.88，有效销项金额=4065843301.78，毛利率=-41.29%，有效经营月份=32，最大作废率=5.58%，最大负数率=2.82%，进销匹配差异=0.41，客户HHI=0.072，供应商HHI=0.991,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
E2,***技术有限责任公司,A,否,87.107818,低风险,信用得分=87.11，有效销项金额=590841712.79，毛利率=73.64%，有效经营月份=38，最大作废率=8.20%，最大负数率=2.83%，进销匹配差异=0.74，客户HHI=0.009，供应商HHI=0.071,否,,否,,放贷,88.397036,100.000000,100.000000,0.046500,0.135727
E3,***电子(中国)有限公司***分公司,C,否,69.250543,较低风险,信用得分=69.25，有效销项金额=570177995.28，毛利率=90.88%，有效经营月份=38，最大作废率=4.25%，最大负数率=18.70%，进销匹配差异=0.91，客户HHI=0.141，供应商HHI=0.405,否,,是,最大负数率18.70% > 15%,放贷,30.000000,30.000000,30.000000,0.082500,0.530249
E4,***发展有限责任公司,C,否,63.859144,中风险,信用得分=63.86，有效销项金额=1839969689.96，毛利率=88.05%，有效经营月份=38，最大作废率=8.52%，最大负数率=0.72%，进销匹配差异=0.88，客户HHI=0.328，供应商HHI=0.879,否,,否,,放贷,50,50.000000,50,0.110500,0.711101
E5,***供应链管理有限公司,B,否,83.573099,低风险,信用得分=83.57，有效销项金额=202632288.87，毛利率=2.39%，有效经营月份=37，最大作废率=5.19%，最大负数率=0.94%，进销匹配差异=0.02，客户HHI=0.202，供应商HHI=0.140,否,,否,,放贷,85.215790,100.000000,100.000000,0.058500,0.302883
E6,***装饰设计工程有限公司,A,否,88.684814,低风险,信用得分=88.68，有效销项金额=366439288.30，毛利率=17.51%，有效经营月份=37，最大作废率=13.21%，最大负数率=2.19%，进销匹配差异=0.18，客户HHI=0.069，供应商HHI=0.121,否,,否,,放贷,89.816333,100.000000,100.000000,0.046500,0.135727
E7,***家电有限公司***分公司,A,否,79.708828,较低风险,信用得分=79.71，有效销项金额=512950626.49，毛利率=88.36%，有效经营月份=38，最大作废率=3.47%，最大负数率=23.43%，进销匹配差异=0.88，客户HHI=0.036，供应商HHI=0.069,否,,是,最大负数率23.43% > 15%,放贷,30.000000,30.000000,30.000000,0.074500,0.511097
E8,***科学研究院有限公司,A,否,90.196840,低风险,信用得分=90.20，有效销项金额=358888832.79，毛利率=54.75%，有效经营月份=38，最大作废率=11.31%，最大负数率=2.63%，进销匹配差异=0.55，客户HHI=0.004，供应商HHI=0.079,否,,否,,放贷,91.177156,100.000000,100.000000,0.046500,0.135727
E9,***生活用品服务有限公司***分公司,A,否,83.448169,低风险,信用得分=83.45，有效销项金额=319592135.36，毛利率=92.32%，有效经营月份=38，最大作废率=2.47%，最大负数率=2.07%，进销匹配差异=0.92，客户HHI=0.058，供应商HHI=0.129,否,,否,,放贷,85.103352,100.000000,100.000000,0.046500,0.135727
E10,***建筑劳务有限公司,B,否,72.763882,较低风险,信用得分=72.76，有效销项金额=340831584.47，毛利率=98.49%，有效经营月份=37，最大作废率=9.15%，最大负数率=0.83%，进销匹配差异=0.98，客户HHI=0.108，供应商HHI=0.019,否,,否,,放贷,75.487494,80.000000,80.000000,0.070500,0.458295
