企业代号,企业名称,信誉评级,是否违约,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异
E1,***电器销售有限公司,A,否,4065843301.779994,5744706261.019965,135528110.059333,-0.412919,7886,3249,0.027620,0.055798,0.028237,0.020634,32,0,0.459655,352,436,0.072295,0.990795,0.412919
E2,***技术有限责任公司,A,否,590841712.790017,155762303.569994,15968694.940271,0.736372,11665,31435,0.082002,0.022422,0.028331,0.004851,38,0,0.742896,1579,3625,0.008919,0.070693,0.736372
E3,***电子(中国)有限公司***分公司,C,否,570177995.280001,52026978.690000,15004684.086316,0.908753,23688,4367,0.015993,0.042535,0.186973,0.005701,38,0,0.707871,135,571,0.140935,0.405272,0.908753
E4,***发展有限责任公司,C,否,1839969689.959990,219877104.440000,52570562.570285,0.880500,2041,521,0.085164,0.066308,0.004034,0.007168,38,1,1.297984,26,131,0.327588,0.878647,0.880500
E5,***供应链管理有限公司,B,否,202632288.870000,197784985.120000,6140372.390000,0.023922,1005,2084,0.051887,0.039189,0.009434,0.008299,37,2,0.871091,33,393,0.202455,0.140308,0.023922
E6,***装饰设计工程有限公司,A,否,366439288.300000,302282691.220000,9903764.548649,0.175081,913,10814,0.132129,0.046132,0.021863,0.007057,37,0,0.687760,142,1515,0.068752,0.120516,0.175081
E7,***家电有限公司***分公司,A,否,512950626.490000,59720328.690001,13498700.697105,0.883575,8032,12643,0.014358,0.034664,0.234262,0.034435,38,0,0.699284,1211,1572,0.035882,0.068545,0.883575
E8,***科学研究院有限公司,A,否,358888832.790006,162413052.880002,9444442.968158,0.547456,8359,21777,0.113103,0.033679,0.026313,0.003461,38,0,0.472579,2679,2598,0.004020,0.078746,0.547456
E9,***生活用品服务有限公司***分公司,A,否,319592135.360001,24535615.550000,8410319.351579,0.923228,5760,4199,0.024721,0.021896,0.020657,0.006289,38,0,0.337153,123,738,0.057955,0.128900,0.923228
E10,***建筑劳务有限公司,B,否,340831584.470000,5144538.690000,9738045.270571,0.984906,516,3860,0.091549,0.057847,0.003521,0.008299,37,1,1.785621,26,881,0.107701,0.019081,0.984906
E11,***建设工程有限公司,C,否,148439127.140002,133219036.310001,7068529.863810,0.102534,1051,2715,0.059087,0.042666,0.000895,0.008463,31,2,0.643230,4,466,0.396469,0.081676,0.102534
E12,***建筑劳务有限公司,B,否,223684403.089999,88851680.770000,13980275.193125,0.602781,263,1757,0.077193,0.021715,0.003509,0.007238,36,3,0.817421,5,395,0.563657,0.140255,0.602781
E13,***汽车贸易有限公司,A,否,212454771.010000,92028477.700003,5590915.026579,0.566833,6808,13255,0.149532,0.015888,0.009244,0.002970,38,0,0.942808,3182,722,0.061563,0.097396,0.566833
E14,个体经营E14,C,否,209084031.790000,111348020.140000,5807889.771944,0.467448,3097,6527,0.071643,0.077717,0.012890,0.018369,36,0,0.381074,820,906,0.009754,0.064333,0.467448
E15,***劳务有限公司,A,否,211824339.199996,4238459.000000,7304287.558621,0.979991,2260,92,0.063018,0.000000,0.000000,0.000000,32,3,0.843387,2,33,0.724875,0.261630,0.979991
E16,***建筑劳务有限公司,A,否,209410435.500000,277180.850000,5816956.541667,0.998676,390,289,0.111617,0.003448,0.000000,0.003448,36,1,0.910353,53,77,0.065484,0.088189,0.998676
