企业代号,企业名称,信誉评级,是否违约,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
E1,***电器销售有限公司,A,否,4065843301.779994,5744706261.019965,135528110.059333,-0.412919,7886,3249,0.027620,0.055798,0.028237,0.020634,32,0,0.459655,352,436,0.072295,0.990795,0.412919,70.000000,90.393687,80.726727,65.609906,100,78.882400,21.117600,0.055798,0.028237,否,,否,,较低风险,信用得分=78.88，有效销项金额=4065843301.78，毛利率=-41.29%，有效经营月份=32，最大作废率=5.58%，最大负数率=2.82%，进销匹配差异=0.41，客户HHI=0.072，供应商HHI=0.991
E2,***技术有限责任公司,A,否,590841712.790017,155762303.569994,15968694.940271,0.736372,11665,31435,0.082002,0.022422,0.028331,0.004851,38,0,0.742896,1579,3625,0.008919,0.070693,0.736372,84.379698,92.459784,71.383574,98.375213,100,87.107818,12.892182,0.082002,0.028331,否,,否,,低风险,信用得分=87.11，有效销项金额=590841712.79，毛利率=73.64%，有效经营月份=38，最大作废率=8.20%，最大负数率=2.83%，进销匹配差异=0.74，客户HHI=0.009，供应商HHI=0.071
E3,***电子(中国)有限公司***分公司,C,否,570177995.280001,52026978.690000,15004684.086316,0.908753,23688,4367,0.015993,0.042535,0.186973,0.005701,38,0,0.707871,135,571,0.140935,0.405272,0.908753,74.977104,92.946237,50.096043,66.965044,60.000000,69.250543,30.749457,0.042535,0.186973,否,,是,最大负数率18.70% > 15%,较低风险,信用得分=69.25，有效销项金额=570177995.28，毛利率=90.88%，有效经营月份=38，最大作废率=4.25%，最大负数率=18.70%，进销匹配差异=0.91，客户HHI=0.141，供应商HHI=0.405
E4,***发展有限责任公司,C,否,1839969689.959990,219877104.440000,52570562.570285,0.880500,2041,521,0.085164,0.066308,0.004034,0.007168,38,1,1.297984,26,131,0.327588,0.878647,0.880500,76.518203,82.250226,71.593084,21.906384,60.000000,63.859144,36.140856,0.085164,0.007168,否,,否,,中风险,信用得分=63.86，有效销项金额=1839969689.96，毛利率=88.05%，有效经营月份=38，最大作废率=8.52%，最大负数率=0.72%，进销匹配差异=0.88，客户HHI=0.328，供应商HHI=0.879
E5,***供应链管理有限公司,B,否,202632288.870000,197784985.120000,6140372.390000,0.023922,1005,2084,0.051887,0.039189,0.009434,0.008299,37,2,0.871091,33,393,0.202455,0.140308,0.023922,96.319708,85.679292,90.902125,58.158914,80.000000,83.573099,16.426901,0.051887,0.009434,否,,否,,低风险,信用得分=83.57，有效销项金额=202632288.87，毛利率=2.39%，有效经营月份=37，最大作废率=5.19%，最大负数率=0.94%，进销匹配差异=0.02，客户HHI=0.202，供应商HHI=0.140
E6,***装饰设计工程有限公司,A,否,366439288.300000,302282691.220000,9903764.548649,0.175081,913,10814,0.132129,0.046132,0.021863,0.007057,37,0,0.687760,142,1515,0.068752,0.120516,0.175081,100.000000,93.225558,75.158514,81.250369,100,88.684814,11.315186,0.132129,0.021863,否,,否,,低风险,信用得分=88.68，有效销项金额=366439288.30，毛利率=17.51%，有效经营月份=37，最大作废率=13.21%，最大负数率=2.19%，进销匹配差异=0.18，客户HHI=0.069，供应商HHI=0.121
E7,***家电有限公司***分公司,A,否,512950626.490000,59720328.690001,13498700.697105,0.883575,8032,12643,0.014358,0.034664,0.234262,0.034435,38,0,0.699284,1211,1572,0.035882,0.068545,0.883575,76.350460,93.065505,49.684419,97.935035,100,79.708828,20.291172,0.034664,0.234262,否,,是,最大负数率23.43% > 15%,较低风险,信用得分=79.71，有效销项金额=512950626.49，毛利率=88.36%，有效经营月份=38，最大作废率=3.47%，最大负数率=23.43%，进销匹配差异=0.88，客户HHI=0.036，供应商HHI=0.069
E8,***科学研究院有限公司,A,否,358888832.790006,162413052.880002,9444442.968158,0.547456,8359,21777,0.113103,0.033679,0.026313,0.003461,38,0,0.472579,2679,2598,0.004020,0.078746,0.547456,94.684228,96.214175,70.638091,98.117125,100,90.196840,9.803160,0.113103,0.026313,否,,否,,低风险,信用得分=90.20，有效销项金额=358888832.79，毛利率=54.75%，有效经营月份=38，最大作废率=11.31%，最大负数率=2.63%，进销匹配差异=0.55，客户HHI=0.004，供应商HHI=0.079
E9,***生活用品服务有限公司***分公司,A,否,319592135.360001,24535615.550000,8410319.351579,0.923228,5760,4199,0.024721,0.021896,0.020657,0.006289,38,0,0.337153,123,738,0.057955,0.128900,0.923228,74.187545,98.095104,77.284073,79.806220,100,83.448169,16.551831,0.024721,0.020657,否,,否,,低风险,信用得分=83.45，有效销项金额=319592135.36，毛利率=92.32%，有效经营月份=38，最大作废率=2.47%，最大负数率=2.07%，进销匹配差异=0.92，客户HHI=0.058，供应商HHI=0.129
E10,***建筑劳务有限公司,B,否,340831584.470000,5144538.690000,9738045.270571,0.984906,516,3860,0.091549,0.057847,0.003521,0.008299,37,1,1.785621,26,881,0.107701,0.019081,0.984906,70.823313,75.477488,68.702432,73.934739,80.000000,72.763882,27.236118,0.091549,0.008299,否,,否,,较低风险,信用得分=72.76，有效销项金额=340831584.47，毛利率=98.49%，有效经营月份=37，最大作废率=9.15%，最大负数率=0.83%，进销匹配差异=0.98，客户HHI=0.108，供应商HHI=0.019
E11,***建设工程有限公司,C,否,148439127.140002,133219036.310001,7068529.863810,0.102534,1051,2715,0.059087,0.042666,0.000895,0.008463,31,2,0.643230,4,466,0.396469,0.081676,0.102534,86.889410,81.344027,88.664100,54.449491,60.000000,77.047081,22.952919,0.059087,0.008463,否,,否,,较低风险,信用得分=77.05，有效销项金额=148439127.14，毛利率=10.25%，有效经营月份=31，最大作废率=5.91%，最大负数率=0.85%，进销匹配差异=0.10，客户HHI=0.396，供应商HHI=0.082
E12,***建筑劳务有限公司,B,否,223684403.089999,88851680.770000,13980275.193125,0.602781,263,1757,0.077193,0.021715,0.003509,0.007238,36,3,0.817421,5,395,0.563657,0.140255,0.602781,91.666487,83.924708,77.558568,44.421902,80.000000,75.975586,24.024414,0.077193,0.007238,否,,否,,较低风险,信用得分=75.98，有效销项金额=223684403.09，毛利率=60.28%，有效经营月份=36，最大作废率=7.72%，最大负数率=0.72%，进销匹配差异=0.60，客户HHI=0.564，供应商HHI=0.140
E13,***汽车贸易有限公司,A,否,212454771.010000,92028477.700003,5590915.026579,0.566833,6808,13255,0.149532,0.015888,0.009244,0.002970,38,0,0.942808,3182,722,0.061563,0.097396,0.566833,91.624496,89.683219,67.759380,96.187220,100,87.020057,12.979943,0.149532,0.009244,否,,否,,低风险,信用得分=87.02，有效销项金额=212454771.01，毛利率=56.68%，有效经营月份=38，最大作废率=14.95%，最大负数率=0.92%，进销匹配差异=0.57，客户HHI=0.062，供应商HHI=0.097
E14,个体经营E14,C,否,209084031.790000,111348020.140000,5807889.771944,0.467448,3097,6527,0.071643,0.077717,0.012890,0.018369,36,0,0.381074,820,906,0.009754,0.064333,0.467448,97.885658,97.485080,78.183930,98.579073,60.000000,89.230228,10.769772,0.077717,0.018369,否,,否,,低风险,信用得分=89.23，有效销项金额=209084031.79，毛利率=46.74%，有效经营月份=36，最大作废率=7.77%，最大负数率=1.84%，进销匹配差异=0.47，客户HHI=0.010，供应商HHI=0.064
E15,***劳务有限公司,A,否,211824339.199996,4238459.000000,7304287.558621,0.979991,2260,92,0.063018,0.000000,0.000000,0.000000,32,3,0.843387,2,33,0.724875,0.261630,0.979991,71.091417,77.564067,74.027609,20.741157,100,65.940801,34.059199,0.063018,0.000000,否,,否,,较低风险,信用得分=65.94，有效销项金额=211824339.20，毛利率=98.00%，有效经营月份=32，最大作废率=6.30%，最大负数率=0.00%，进销匹配差异=0.98，客户HHI=0.725，供应商HHI=0.262
E16,***建筑劳务有限公司,A,否,209410435.500000,277180.850000,5816956.541667,0.998676,390,289,0.111617,0.003448,0.000000,0.003448,36,1,0.910353,53,77,0.065484,0.088189,0.998676,69.003259,87.633987,66.379498,53.111887,100,71.994864,28.005136,0.111617,0.003448,否,,否,,较低风险,信用得分=71.99，有效销项金额=209410435.50，毛利率=99.87%，有效经营月份=36，最大作废率=11.16%，最大负数率=0.34%，进销匹配差异=1.00，客户HHI=0.065，供应商HHI=0.088
E17,***消防工程有限公司,A,否,154980771.440000,130460468.019997,4188669.498378,0.158215,561,7143,0.170118,0.056158,0.019231,0.012024,37,0,0.678762,182,869,0.042314,0.019295,0.158215,80.501449,93.350526,70.530052,88.522461,100,84.132473,15.867527,0.170118,0.019231,否,,否,,低风险,信用得分=84.13，有效销项金额=154980771.44，毛利率=15.82%，有效经营月份=37，最大作废率=17.01%，最大负数率=1.92%，进销匹配差异=0.16，客户HHI=0.042，供应商HHI=0.019
E18,***消防工程有限责任公司,A,否,187726474.540000,127926244.549996,5073688.501081,0.318550,345,5455,0.094488,0.053773,0.005249,0.005377,37,0,0.888975,46,642,0.124621,0.044268,0.318550,91.206671,90.430908,80.390441,74.216132,100,85.828686,14.171314,0.094488,0.005377,否,,否,,低风险,信用得分=85.83，有效销项金额=187726474.54，毛利率=31.85%，有效经营月份=37，最大作废率=9.45%，最大负数率=0.54%，进销匹配差异=0.32，客户HHI=0.125，供应商HHI=0.044
E19,***科技有限公司,A,否,180443886.070000,183208718.950000,4876861.785676,-0.015322,2821,1484,0.089706,0.026247,0.021297,0.001969,37,0,0.396938,508,167,0.014680,0.187206,0.015322,83.226785,97.264746,83.978389,76.108003,100,86.475843,13.524157,0.089706,0.021297,否,,否,,低风险,信用得分=86.48，有效销项金额=180443886.07，毛利率=-1.53%，有效经营月份=37，最大作废率=8.97%，最大负数率=2.13%，进销匹配差异=0.02，客户HHI=0.015，供应商HHI=0.187
E20,***贸易有限公司,B,否,191826403.600000,177559726.440000,5480754.388571,0.074373,737,1041,0.051480,0.078761,0.000000,0.002655,37,2,0.478565,25,70,0.318146,0.072541,0.074373,93.770987,91.131048,87.273696,42.991594,80.000000,80.085699,19.914301,0.078761,0.002655,否,,否,,低风险,信用得分=80.09，有效销项金额=191826403.60，毛利率=7.44%，有效经营月份=37，最大作废率=7.88%，最大负数率=0.27%，进销匹配差异=0.07，客户HHI=0.318，供应商HHI=0.073
E21,***建设工程有限公司,B,否,118412938.230004,114782677.349999,3482733.477353,0.030658,1428,2146,0.025921,0.071799,0.031378,0.009516,37,1,1.028738,325,480,0.240446,0.059199,0.030658,68.055432,85.989746,84.704903,85.733703,80.000000,80.534774,19.465226,0.071799,0.031378,否,,否,,低风险,信用得分=80.53，有效销项金额=118412938.23，毛利率=3.07%，有效经营月份=37，最大作废率=7.18%，最大负数率=3.14%，进销匹配差异=0.03，客户HHI=0.240，供应商HHI=0.059
E22,***物流有限公司,A,否,111933993.520000,65915911.020000,3109277.597778,0.411118,1366,1520,0.125480,0.055901,0.007682,0.013665,37,1,0.798163,45,80,0.098248,0.122249,0.411118,66.775785,89.192176,73.188524,50.450130,100,72.919538,27.080462,0.125480,0.013665,否,,否,,较低风险,信用得分=72.92，有效销项金额=111933993.52，毛利率=41.11%，有效经营月份=37，最大作废率=12.55%，最大负数率=1.37%，进销匹配差异=0.41，客户HHI=0.098，供应商HHI=0.122
E23,***贸易有限公司,B,否,183238932.060000,173780708.680000,4952403.569189,0.051617,3441,4802,0.036134,0.030095,0.010364,0.015148,37,0,0.206556,117,682,0.053797,0.666449,0.051617,89.739604,99.908944,91.765613,62.229943,80.000000,85.804081,14.195919,0.036134,0.015148,否,,否,,低风险,信用得分=85.80，有效销项金额=183238932.06，毛利率=5.16%，有效经营月份=37，最大作废率=3.61%，最大负数率=1.51%，进销匹配差异=0.05，客户HHI=0.054，供应商HHI=0.666
E24,***建筑工程有限公司,A,否,140520367.659999,75290120.820000,4014867.647429,0.464205,1638,2004,0.080808,0.021006,0.015713,0.007816,36,1,0.637733,48,367,0.140918,0.081763,0.464205,75.895846,91.420373,78.206380,62.163130,100,79.242257,20.757743,0.080808,0.015713,否,,否,,较低风险,信用得分=79.24，有效销项金额=140520367.66，毛利率=46.42%，有效经营月份=36，最大作废率=8.08%，最大负数率=1.57%，进销匹配差异=0.46，客户HHI=0.141，供应商HHI=0.082
