企业代号,企业名称,估计信用等级,信用得分,风险等级,分级依据指标,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
E124,个体经营E124 ,类A,80.756869,低风险,信用得分=80.76，有效销项金额=741780367.83，毛利率=-5.90%，有效经营月份=25，最大作废率=15.00%，最大负数率=3.25%，进销匹配差异=0.06，客户HHI=0.073，供应商HHI=0.031,否,,否,,放贷,82.681182,100.000000,82.681182,0.046500,0.135727
E125,个体经营E125 ,类A,86.169690,低风险,信用得分=86.17，有效销项金额=941211364.49，毛利率=0.94%，有效经营月份=36，最大作废率=13.48%，最大负数率=2.70%，进销匹配差异=0.01，客户HHI=0.059，供应商HHI=0.017,否,,否,,放贷,87.552721,100.000000,87.552721,0.046500,0.135727
E126,个体经营E126 ,类A,73.909527,较低风险,信用得分=73.91，有效销项金额=520691097.82，毛利率=78.34%，有效经营月份=36，最大作废率=16.62%，最大负数率=2.11%，进销匹配差异=0.78，客户HHI=0.063，供应商HHI=0.294,否,,否,,放贷,76.518574,80.000000,76.518574,0.074500,0.511097
E127,个体经营E127 ,类A,76.077508,较低风险,信用得分=76.08，有效销项金额=651937954.53，毛利率=99.75%，有效经营月份=36，最大作废率=3.03%，最大负数率=0.14%，进销匹配差异=1.00，客户HHI=0.134，供应商HHI=0.063,否,,否,,放贷,78.469757,80.000000,78.469757,0.074500,0.511097
E128,个体经营E128 ,类B,68.598418,较低风险,信用得分=68.60，有效销项金额=242390151.79，毛利率=96.32%，有效经营月份=36，最大作废率=7.49%，最大负数率=0.50%，进销匹配差异=0.96，客户HHI=0.952，供应商HHI=0.026,否,,否,,放贷,71.738576,80.000000,71.738576,0.070500,0.458295
E129,个体经营E129 ,类A,85.802441,低风险,信用得分=85.80，有效销项金额=324806032.62，毛利率=76.56%，有效经营月份=36，最大作废率=10.93%，最大负数率=1.50%，进销匹配差异=0.77，客户HHI=0.011，供应商HHI=0.041,否,,否,,放贷,87.222197,100.000000,87.222197,0.046500,0.135727
E130,个体经营E130 ,类B,68.353692,较低风险,信用得分=68.35，有效销项金额=110036672.88，毛利率=34.16%，有效经营月份=31，最大作废率=4.41%，最大负数率=1.52%，进销匹配差异=0.34，客户HHI=0.764，供应商HHI=0.046,否,,否,,放贷,71.518323,80.000000,71.518323,0.070500,0.458295
E131,个体经营E131 ,类A,92.230228,低风险,信用得分=92.23，有效销项金额=209084031.79，毛利率=46.74%，有效经营月份=36，最大作废率=7.77%，最大负数率=1.84%，进销匹配差异=0.47，客户HHI=0.010，供应商HHI=0.064,否,,否,,放贷,93.007205,100.000000,93.007205,0.046500,0.135727
E132,个体经营E132 ,类A,83.713538,低风险,信用得分=83.71，有效销项金额=203358261.85，毛利率=68.50%，有效经营月份=34，最大作废率=7.73%，最大负数率=0.44%，进销匹配差异=0.68，客户HHI=0.026，供应商HHI=0.077,否,,否,,放贷,85.342185,100.000000,85.342185,0.046500,0.135727
E133,个体经营E133 ,类B,62.489146,中风险,信用得分=62.49，有效销项金额=113655014.38，毛利率=65.59%，有效经营月份=35，最大作废率=17.65%，最大负数率=1.76%，进销匹配差异=0.66，客户HHI=0.456，供应商HHI=0.073,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E134,***工程咨询有限公司,类A,74.225712,较低风险,信用得分=74.23，有效销项金额=122815469.98，毛利率=96.80%，有效经营月份=37，最大作废率=7.65%，最大负数率=1.89%，进销匹配差异=0.97，客户HHI=0.008，供应商HHI=0.110,否,,否,,放贷,76.803140,80.000000,76.803140,0.074500,0.511097
E135,***建设工程有限公司,类B,68.135745,较低风险,信用得分=68.14，有效销项金额=135537558.52，毛利率=81.88%，有效经营月份=37，最大作废率=11.14%，最大负数率=3.39%，进销匹配差异=0.82，客户HHI=0.092，供应商HHI=0.051,否,,否,,放贷,71.322170,80.000000,71.322170,0.070500,0.458295
E136,***机械有限责任公司,类B,64.290576,中风险,信用得分=64.29，有效销项金额=116652185.36，毛利率=1.83%，有效经营月份=29，最大作废率=5.24%，最大负数率=0.30%，进销匹配差异=0.02，客户HHI=0.640，供应商HHI=0.999,否,,否,,放贷,50,50.000000,50,0.106500,0.705316
E137,***建设工程有限公司,类A,79.920546,较低风险,信用得分=79.92，有效销项金额=143264372.92，毛利率=27.92%，有效经营月份=37，最大作废率=9.06%，最大负数率=2.36%，进销匹配差异=0.28，客户HHI=0.137，供应商HHI=0.038,否,,否,,放贷,80,80.000000,80,0.074500,0.511097
