企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异
E124,个体经营E124 ,类A,741780367.830012,785525535.339999,29671214.713200,-0.058973,1099,15264,0.150039,0.123313,0.032483,0.019872,25,0,0.643524,52,1403,0.073443,0.031150,0.058973
E125,个体经营E125 ,类A,941211364.490018,932383246.020000,26891753.271143,0.009380,1380,17776,0.134796,0.123817,0.026959,0.020012,36,1,0.696809,63,1789,0.059261,0.016835,0.009380
E126,个体经营E126 ,类A,520691097.819999,112773465.190000,14463641.606111,0.783416,1264,515,0.166227,0.033771,0.021108,0.005629,36,0,0.641598,143,72,0.062628,0.294442,0.783416
E127,个体经营E127 ,类A,651937954.529983,1646702.460000,18109387.625833,0.997474,3904,1424,0.030303,0.017931,0.000994,0.001379,36,0,0.794343,25,297,0.133780,0.062524,0.997474
E128,个体经营E128 ,类B,242390151.789996,8928032.930000,7345156.114848,0.963167,1161,3134,0.074900,0.027312,0.000000,0.004966,36,2,1.322392,7,532,0.952254,0.026047,0.963167
E129,个体经营E129 ,类A,324806032.619999,76126149.460000,9022389.795000,0.765626,5181,5928,0.109335,0.062915,0.014956,0.004584,36,0,0.568493,796,1368,0.010669,0.040716,0.765626
E130,个体经营E130 ,类B,110036672.880001,72445153.240000,5001666.949091,0.341627,1321,3123,0.044139,0.039373,0.015195,0.005537,31,7,1.428063,14,517,0.763920,0.046382,0.341627
E131,个体经营E131 ,类A,209084031.790000,111348020.140000,5807889.771944,0.467448,3097,6527,0.071643,0.077717,0.012890,0.018369,36,0,0.381074,818,906,0.009754,0.064333,0.467448
E132,个体经营E132 ,类A,203358261.850003,64061771.730000,5981125.348530,0.684981,1659,5050,0.077308,0.021128,0.004449,0.001938,34,0,0.670465,99,682,0.026044,0.077028,0.684981
E133,个体经营E133 ,类B,113655014.380000,39108647.880000,5682750.719000,0.655900,140,1599,0.176471,0.027964,0.017647,0.001216,35,6,1.208403,9,282,0.456317,0.072610,0.655900
E134,***工程咨询有限公司,类A,122815469.980001,3928745.500000,3319337.026487,0.968011,2835,1664,0.076547,0.018289,0.018893,0.004130,37,0,0.787400,1672,581,0.007615,0.109889,0.968011
E135,***建设工程有限公司,类B,135537558.520000,24565279.450000,3872501.672000,0.818757,367,2847,0.111380,0.015220,0.033898,0.001730,37,2,0.796003,73,364,0.092281,0.050838,0.818757
E136,***机械有限责任公司,类B,116652185.360000,114520005.260000,4166149.477143,0.018278,1284,1286,0.052399,0.001553,0.002952,0.000776,29,1,0.938048,4,16,0.639820,0.999322,0.018278
E137,***建设工程有限公司,类A,143264372.920000,103268584.529999,4775479.097333,0.279175,231,3141,0.090551,0.042670,0.023622,0.011582,37,2,1.052346,25,675,0.137409,0.038214,0.279175
E138,个体经营E138 ,类B,107831741.030000,20785662.730000,2995326.139722,0.807240,1439,512,0.035523,0.015385,0.008043,0.048077,36,0,0.612094,118,54,0.042573,0.173865,0.807240
E139,个体经营E139 ,类A,187713527.390002,1210488.040000,5214264.649722,0.993551,12209,457,0.047808,0.031780,0.002574,0.004237,36,0,0.405477,167,77,0.097390,0.076610,0.993551
E140,***建筑工程有限公司,类B,182429033.050000,6926522.320000,4930514.406757,0.962032,726,2023,0.140828,0.024590,0.026036,0.008679,37,0,0.806396,20,561,0.135180,0.118147,0.962032
E141,***食品有限公司,类A,159374968.200000,39177009.150000,4553570.520000,0.754183,4458,1357,0.059494,0.039632,0.030380,0.002123,36,0,0.423897,1183,208,0.015721,0.056889,0.754183
E142,***运业有限公司,类B,97267679.639999,49328650.860000,2628856.206486,0.492857,1366,704,0.074526,0.031637,0.006775,0.015131,37,0,0.617628,66,96,0.300534,0.234734,0.492857
E143,***电子科技有限公司,类B,90439864.439999,32709212.260000,2512218.456667,0.638332,1099,3579,0.044348,0.036349,0.018261,0.012116,38,1,1.153794,76,598,0.385517,0.079589,0.638332
E144,***劳务有限公司,类B,104168305.739999,8662197.310000,3858085.397778,0.916844,1245,2434,0.084559,0.017756,0.042647,0.004439,30,1,0.941485,28,671,0.128593,0.074268,0.916844
E145,***工贸有限公司,类A,117569720.060000,112976762.780000,3177560.001622,0.039066,3844,2916,0.099977,0.024096,0.018965,0.006024,37,0,0.394762,394,377,0.087159,0.148676,0.039066
E146,***基础建设工程有限公司,类A,131110608.430000,123019829.789999,3543529.957568,0.061710,1416,3170,0.121588,0.024615,0.021092,0.002462,37,0,0.622431,63,383,0.079834,0.368785,0.061710
E147,***装饰工程有限责任公司,类A,187669783.070002,147605710.199996,5213049.529722,0.213482,2314,5603,0.024040,0.064764,0.010122,0.010683,37,1,0.728524,145,733,0.060312,0.050908,0.213482
E148,***商贸有限公司,类B,80568173.170000,28869945.280000,4739304.304118,0.641671,270,511,0.039146,0.064103,0.003559,0.003663,36,2,0.927241,186,134,0.011078,0.477567,0.641671
E149,***建筑劳务有限公司,类C,101240606.260001,566820.350000,3893869.471538,0.994401,1147,285,0.064437,0.027304,0.026101,0.000000,34,3,0.885443,10,109,0.230663,0.191524,0.994401
