企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,经营综合预评分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
E124,个体经营E124 ,类A,741780367.830012,785525535.339999,29671214.713200,-0.058973,1099,15264,0.150039,0.123313,0.032483,0.019872,25,0,0.643524,52,1403,0.073443,0.031150,0.058973,90.659439,77.339948,73.090165,76.757393,80.156839,90.000000,80.756869,19.243131,0.150039,0.032483,否,,否,,低风险,信用得分=80.76，有效销项金额=741780367.83，毛利率=-5.90%，有效经营月份=25，最大作废率=15.00%，最大负数率=3.25%，进销匹配差异=0.06，客户HHI=0.073，供应商HHI=0.031
E125,个体经营E125 ,类A,941211364.490018,932383246.020000,26891753.271143,0.009380,1380,17776,0.134796,0.123817,0.026959,0.020012,36,1,0.696809,63,1789,0.059261,0.016835,0.009380,96.518245,90.599874,76.920498,78.450147,86.525596,90.000000,86.169690,13.830310,0.134796,0.026959,否,,否,,低风险,信用得分=86.17，有效销项金额=941211364.49，毛利率=0.94%，有效经营月份=36，最大作废率=13.48%，最大负数率=2.70%，进销匹配差异=0.01，客户HHI=0.059，供应商HHI=0.017
E126,个体经营E126 ,类A,520691097.819999,112773465.190000,14463641.606111,0.783416,1264,515,0.166227,0.033771,0.021108,0.005629,36,0,0.641598,143,72,0.062628,0.294442,0.783416,81.813684,93.866691,59.852229,53.598554,73.693546,90.000000,73.909527,26.090473,0.166227,0.021108,否,,否,,较低风险,信用得分=73.91，有效销项金额=520691097.82，毛利率=78.34%，有效经营月份=36，最大作废率=16.62%，最大负数率=2.11%，进销匹配差异=0.78，客户HHI=0.063，供应商HHI=0.294
E127,个体经营E127 ,类A,651937954.529983,1646702.460000,18109387.625833,0.997474,3904,1424,0.030303,0.017931,0.000994,0.001379,36,0,0.794343,25,297,0.133780,0.062524,0.997474,70.137774,91.745242,78.094882,58.351480,75.171659,90.000000,76.077508,23.922492,0.030303,0.001379,否,,否,,较低风险,信用得分=76.08，有效销项金额=651937954.53，毛利率=99.75%，有效经营月份=36，最大作废率=3.03%，最大负数率=0.14%，进销匹配差异=1.00，客户HHI=0.134，供应商HHI=0.063
E128,个体经营E128 ,类B,242390151.789996,8928032.930000,7345156.114848,0.963167,1161,3134,0.074900,0.027312,0.000000,0.004966,36,2,1.322392,7,532,0.952254,0.026047,0.963167,72.009090,79.411219,71.913648,46.177447,68.669433,75.000000,68.598418,31.401582,0.074900,0.004966,否,,否,,较低风险,信用得分=68.60，有效销项金额=242390151.79，毛利率=96.32%，有效经营月份=36，最大作废率=7.49%，最大负数率=0.50%，进销匹配差异=0.96，客户HHI=0.952，供应商HHI=0.026
E129,个体经营E129 ,类A,324806032.619999,76126149.460000,9022389.795000,0.765626,5181,5928,0.109335,0.062915,0.014956,0.004584,36,0,0.568493,796,1368,0.010669,0.040716,0.765626,82.784047,94.882048,69.051265,99.336020,85.685746,90.000000,85.802441,14.197559,0.109335,0.014956,否,,否,,低风险,信用得分=85.80，有效销项金额=324806032.62，毛利率=76.56%，有效经营月份=36，最大作废率=10.93%，最大负数率=1.50%，进销匹配差异=0.77，客户HHI=0.011，供应商HHI=0.041
E130,个体经营E130 ,类B,110036672.880001,72445153.240000,5001666.949091,0.341627,1321,3123,0.044139,0.039373,0.015195,0.005537,31,7,1.428063,14,517,0.763920,0.046382,0.341627,74.185664,57.943571,85.562769,46.639349,67.460154,75.000000,68.353692,31.646308,0.044139,0.015195,否,,否,,较低风险,信用得分=68.35，有效销项金额=110036672.88，毛利率=34.16%，有效经营月份=31，最大作废率=4.41%，最大负数率=1.52%，进销匹配差异=0.34，客户HHI=0.764，供应商HHI=0.046
E131,个体经营E131 ,类A,209084031.790000,111348020.140000,5807889.771944,0.467448,3097,6527,0.071643,0.077717,0.012890,0.018369,36,0,0.381074,818,906,0.009754,0.064333,0.467448,97.885658,97.485080,78.183930,98.579073,92.998765,90.000000,92.230228,7.769772,0.077717,0.018369,否,,否,,低风险,信用得分=92.23，有效销项金额=209084031.79，毛利率=46.74%，有效经营月份=36，最大作废率=7.77%，最大负数率=1.84%，进销匹配差异=0.47，客户HHI=0.010，供应商HHI=0.064
E132,个体经营E132 ,类A,203358261.850003,64061771.730000,5981125.348530,0.684981,1659,5050,0.077308,0.021128,0.004449,0.001938,34,0,0.670465,99,682,0.026044,0.077028,0.684981,85.503450,90.465771,76.522292,80.569744,83.511999,90.000000,83.713538,16.286462,0.077308,0.004449,否,,否,,低风险,信用得分=83.71，有效销项金额=203358261.85，毛利率=68.50%，有效经营月份=34，最大作废率=7.73%，最大负数率=0.44%，进销匹配差异=0.68，客户HHI=0.026，供应商HHI=0.077
E133,个体经营E133 ,类B,113655014.380000,39108647.880000,5682750.719000,0.655900,140,1599,0.176471,0.027964,0.017647,0.001216,35,6,1.208403,9,282,0.456317,0.072610,0.655900,66.547474,69.494404,61.168802,45.805983,61.791240,75.000000,62.489146,37.510854,0.176471,0.017647,否,,否,,中风险,信用得分=62.49，有效销项金额=113655014.38，毛利率=65.59%，有效经营月份=35，最大作废率=17.65%，最大负数率=1.76%，进销匹配差异=0.66，客户HHI=0.456，供应商HHI=0.073
