行业类别,冲击等级,脆弱性修正系数,冲击额度折减系数,企业代号,企业名称,估计信用等级,信用得分,风险等级,是否一票否决,一票否决原因,是否高风险池,高风险池原因,是否放贷,初始建议额度_万元,额度上限_万元,最终贷款额度_万元,建议贷款年利率,客户流失率
可选消费与门店经营,高冲击,1.150000,0.750000,E124,个体经营E124 ,类A,75.664709,较低风险,否,,否,,放贷,58.573679,60.000000,58.573679,0.074500,0.511097
可选消费与门店经营,高冲击,1.150000,0.750000,E125,个体经营E125 ,类A,80.992473,低风险,否,,否,,放贷,62.169919,75.000000,62.169919,0.046500,0.135727
可选消费与门店经营,高冲击,1.000000,0.750000,E126,个体经营E126 ,类A,72.782058,较低风险,否,,否,,放贷,56.627889,60.000000,56.627889,0.074500,0.511097
可选消费与门店经营,高冲击,1.000000,0.750000,E127,个体经营E127 ,类A,74.737905,较低风险,否,,否,,放贷,57.948086,60.000000,57.948086,0.074500,0.511097
可选消费与门店经营,高冲击,1.350000,0.000000,E128,个体经营E128 ,类B,60.891142,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E129,个体经营E129 ,类A,84.776497,低风险,否,,否,,放贷,64.724135,75.000000,64.724135,0.046500,0.135727
可选消费与门店经营,高冲击,1.150000,0.000000,E130,个体经营E130 ,类B,61.339758,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E131,个体经营E131 ,类A,85.163724,低风险,否,,否,,放贷,64.985514,75.000000,64.985514,0.046500,0.135727
可选消费与门店经营,高冲击,1.000000,0.750000,E132,个体经营E132 ,类A,77.409580,较低风险,否,,否,,放贷,59.751466,60.000000,59.751466,0.074500,0.511097
可选消费与门店经营,高冲击,1.150000,0.000000,E133,个体经营E133 ,类C,54.892127,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.000000,0.820000,E134,***工程咨询有限公司,类A,70.908988,较低风险,否,,否,,放贷,60.530833,65.600000,60.530833,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E135,***建设工程有限公司,类B,64.533653,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
制造与设备,中冲击,1.350000,0.900000,E136,***机械有限责任公司,类C,57.522124,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
建筑与工程,中高冲击,1.150000,0.820000,E137,***建设工程有限公司,类A,74.144657,较低风险,否,,否,,放贷,62.918757,65.600000,62.918757,0.074500,0.511097
可选消费与门店经营,高冲击,1.000000,0.750000,E138,个体经营E138 ,类B,63.581985,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
可选消费与门店经营,高冲击,1.000000,0.750000,E139,个体经营E139 ,类B,68.156472,较低风险,否,,否,,放贷,53.505619,60.000000,53.505619,0.070500,0.458295
建筑与工程,中高冲击,1.000000,0.820000,E140,***建筑工程有限公司,类B,65.027388,较低风险,否,,否,,放贷,56.190213,65.600000,56.190213,0.070500,0.458295
食品与基础民生,低冲击,1.000000,1.000000,E141,***食品有限公司,类A,79.325494,较低风险,否,,否,,放贷,80.000000,80.000000,80.000000,0.074500,0.511097
其他服务,中冲击,1.000000,0.900000,E142,***运业有限公司,类A,69.332247,较低风险,否,,否,,放贷,65.159120,72.000000,65.159120,0.074500,0.511097
科技与线上服务,中冲击,1.150000,0.900000,E143,***电子科技有限公司,类B,67.933966,较低风险,否,,否,,放贷,64.026513,72.000000,64.026513,0.070500,0.458295
其他服务,中冲击,1.000000,0.900000,E144,***劳务有限公司,类B,62.380291,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
其他服务,中冲击,1.150000,0.900000,E145,***工贸有限公司,类A,78.933478,较低风险,否,,否,,放贷,72.000000,72.000000,72.000000,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E146,***基础建设工程有限公司,类A,71.367092,较低风险,否,,否,,放贷,60.868914,65.600000,60.868914,0.074500,0.511097
装饰装修与家居,高冲击,1.000000,0.750000,E147,***装饰工程有限责任公司,类A,81.214555,低风险,否,,否,,放贷,62.319825,75.000000,62.319825,0.046500,0.135727
普通批发商贸,中冲击,1.000000,0.900000,E148,***商贸有限公司,类B,67.227248,较低风险,否,,否,,放贷,63.454071,72.000000,63.454071,0.070500,0.458295
建筑与工程,中高冲击,1.000000,0.820000,E149,***建筑劳务有限公司,类C,53.791161,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
建筑与工程,中高冲击,1.000000,0.820000,E150,***建设工程有限公司,类A,74.218058,较低风险,否,,否,,放贷,62.972927,65.600000,62.972927,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E151,***路桥工程有限公司,类C,56.600887,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E152,***运贸有限责任公司,类B,61.034774,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.150000,0.000000,E153,个体经营E153 ,类C,51.369923,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.150000,0.900000,E154,***汽车销售服务有限公司,类B,60.704255,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.000000,0.750000,E155,个体经营E155 ,类B,63.655114,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
可选消费与门店经营,高冲击,1.150000,0.000000,E156,个体经营E156 ,类C,51.528120,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.150000,0.820000,E157,***环境设备工程有限公司,类B,62.349735,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
装饰装修与家居,高冲击,1.350000,0.000000,E158,***装饰工程有限公司,类C,53.969957,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E159,个体经营E159 ,类A,74.103487,较低风险,否,,否,,放贷,57.519854,60.000000,57.519854,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E160,***钢结构工程有限公司,类A,76.096877,较低风险,否,,否,,放贷,64.359495,65.600000,64.359495,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E161,***建筑劳务有限责任公司,类C,56.822760,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
科技与线上服务,中冲击,1.300000,0.900000,E162,***网络信息安全有限公司,类A,73.892799,较低风险,否,,否,,放贷,68.853167,72.000000,68.853167,0.074500,0.511097
物流运输,中冲击,1.000000,0.900000,E163,***物流有限公司,类B,66.252608,较低风险,否,,否,,放贷,62.664612,72.000000,62.664612,0.070500,0.458295
可选消费与门店经营,高冲击,1.000000,0.750000,E164,个体经营E164 ,类A,71.337573,较低风险,否,,否,,放贷,55.652862,60.000000,55.652862,0.074500,0.511097
文娱广告与线下服务,高冲击,1.000000,0.750000,E165,***文化传媒股份有限公司,类A,77.427357,较低风险,否,,否,,放贷,59.763466,60.000000,59.763466,0.074500,0.511097
建筑与工程,中高冲击,1.250000,0.820000,E166,***建筑工程有限公司,类D,37.990385,高风险,否,,是,信用得分37.99 < 50；最大负数率16.41% > 15%,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
文娱广告与线下服务,高冲击,1.150000,0.750000,E167,***体育文化股份有限公司,类A,73.840960,较低风险,否,,否,,放贷,57.342648,60.000000,57.342648,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E168,***建材有限公司,类C,50.471706,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
建筑与工程,中高冲击,1.000000,0.820000,E169,***建筑设计有限公司,类A,77.976376,较低风险,否,,否,,放贷,65.600000,65.600000,65.600000,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E170,***建筑劳务有限公司,类B,62.095747,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
其他服务,中冲击,1.000000,0.900000,E171,***质量检验测试站,类A,77.159823,较低风险,否,,否,,放贷,71.499456,72.000000,71.499456,0.074500,0.511097
物流运输,中冲击,1.000000,0.900000,E172,***物流有限公司,类B,67.411175,较低风险,否,,否,,放贷,63.603052,72.000000,63.603052,0.070500,0.458295
普通批发商贸,中冲击,1.150000,0.900000,E173,***贸易有限责任公司,类A,78.146500,较低风险,否,,否,,放贷,72.000000,72.000000,72.000000,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E174,***工程技术有限公司,类A,72.585987,较低风险,否,,否,,放贷,61.768458,65.600000,61.768458,0.074500,0.511097
食品与基础民生,低冲击,1.300000,1.000000,E175,***食品集团有限公司,类A,73.272457,较低风险,否,,否,,放贷,75.945212,80.000000,75.945212,0.074500,0.511097
科技与线上服务,中冲击,1.000000,0.900000,E176,***科技有限公司,类B,66.174221,较低风险,否,,否,,放贷,62.601119,72.000000,62.601119,0.070500,0.458295
建筑与工程,中高冲击,1.150000,0.820000,E177,***电力工程有限公司,类A,70.513710,较低风险,否,,否,,放贷,60.239118,65.600000,60.239118,0.074500,0.511097
普通批发商贸,中冲击,1.150000,0.900000,E178,***贸易有限公司,类B,68.031786,较低风险,否,,否,,放贷,64.105747,72.000000,64.105747,0.070500,0.458295
建筑与工程,中高冲击,1.000000,0.820000,E179,***园林有限公司,类B,64.175623,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
其他服务,中冲击,1.000000,0.900000,E180,***电气有限公司,类A,77.038911,较低风险,否,,否,,放贷,71.401518,72.000000,71.401518,0.074500,0.511097
食品与基础民生,低冲击,1.150000,1.000000,E181,***食品有限公司,类A,71.577813,较低风险,否,,否,,放贷,74.420031,80.000000,74.420031,0.074500,0.511097
科技与线上服务,中冲击,1.000000,0.900000,E182,***新材料科技有限公司,类A,73.073596,较低风险,否,,否,,放贷,68.189613,72.000000,68.189613,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E183,***建设工程有限公司,类B,60.527702,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
装饰装修与家居,高冲击,1.150000,0.000000,E184,***建筑装饰工程有限公司,类B,65.297255,较低风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.000000,0.900000,E185,***生态魔芋有限公司,类B,62.736283,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.150000,0.820000,E186,***建筑劳务有限公司,类C,51.855550,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
可选消费与门店经营,高冲击,1.150000,0.000000,E187,个体经营E187 ,类D,33.087995,高风险,是,最大作废率90.91% > 40%；进销匹配差异20.62 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
其他服务,中冲击,1.150000,0.900000,E188,***硬质合金有限公司,类A,78.771078,较低风险,否,,否,,放贷,72.000000,72.000000,72.000000,0.074500,0.511097
科技与线上服务,中冲击,1.150000,0.900000,E189,***石油工程技术服务有限公司,类B,68.530571,较低风险,否,,否,,放贷,64.509762,72.000000,64.509762,0.070500,0.458295
其他服务,中冲击,1.000000,0.900000,E190,***劳务有限公司,类C,54.822006,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
普通批发商贸,中冲击,1.150000,0.900000,E191,***商贸有限责任公司,类A,78.797858,较低风险,否,,否,,放贷,72.000000,72.000000,72.000000,0.074500,0.511097
建筑与工程,中高冲击,1.100000,0.820000,E192,***建设工程有限公司,类D,42.622924,高风险,否,,是,信用得分42.62 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
可选消费与门店经营,高冲击,1.000000,0.750000,E193,个体经营E193 ,类A,71.401488,较低风险,否,,否,,放贷,55.696004,60.000000,55.696004,0.074500,0.511097
文娱广告与线下服务,高冲击,1.000000,0.750000,E194,***文化传播有限公司,类B,68.211392,较低风险,否,,否,,放贷,53.542690,60.000000,53.542690,0.070500,0.458295
医疗药品与健康服务,低冲击,1.000000,1.000000,E195,***医药有限公司,类A,83.683728,低风险,否,,否,,放贷,85.315355,100.000000,85.315355,0.046500,0.135727
其他服务,中冲击,1.000000,0.900000,E196,***地质制图印刷厂,类A,74.244435,较低风险,否,,否,,放贷,69.137993,72.000000,69.137993,0.074500,0.511097
医疗药品与健康服务,低冲击,1.000000,1.000000,E197,***医疗设备有限公司,类A,88.133392,低风险,否,,否,,放贷,89.320052,100.000000,89.320052,0.046500,0.135727
普通批发商贸,中冲击,1.150000,0.900000,E198,***商贸有限公司,类B,61.687954,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.250000,0.820000,E199,***建筑劳务有限公司,类D,38.374215,高风险,否,,是,信用得分38.37 < 50,资金不足未放贷,24.600000,24.600000,0.000000,0.122500,0.784481
可选消费与门店经营,高冲击,1.150000,0.750000,E200,个体经营E200 ,类C,58.955439,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
物流运输,中冲击,1.150000,0.900000,E201,***物流有限责任公司,类B,65.895413,较低风险,否,,否,,放贷,62.375285,72.000000,62.375285,0.070500,0.458295
可选消费与门店经营,高冲击,1.200000,0.000000,E202,个体经营E202 ,类C,51.395638,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.150000,0.820000,E203,***建设工程有限公司,类B,60.843688,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
科技与线上服务,中冲击,1.000000,0.900000,E204,***科技发展有限公司,类A,76.077105,较低风险,否,,否,,放贷,70.622455,72.000000,70.622455,0.074500,0.511097
可选消费与门店经营,高冲击,1.000000,0.750000,E205,个体经营E205 ,类B,61.626113,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
建筑与工程,中高冲击,1.000000,0.820000,E206,***建设工程有限公司,类A,79.381858,较低风险,否,,否,,放贷,65.600000,65.600000,65.600000,0.074500,0.511097
可选消费与门店经营,高冲击,1.150000,0.000000,E207,个体经营E207 ,类B,64.011882,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.150000,0.750000,E208,个体经营E208 ,类B,60.425118,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
建筑与工程,中高冲击,1.000000,0.820000,E209,***工程检测有限公司,类A,72.394404,较低风险,否,,否,,放贷,61.627070,65.600000,61.627070,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E210,***建筑工程有限公司,类C,48.084660,高风险,否,,是,信用得分48.08 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
可选消费与门店经营,高冲击,1.000000,0.750000,E211,个体经营E211 ,类B,61.986301,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
其他服务,中冲击,1.000000,0.900000,E212,***建电管理咨询有限公司,类C,56.028431,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
科技与线上服务,中冲击,1.000000,0.900000,E213,***科技有限公司,类A,76.652059,较低风险,否,,否,,放贷,71.088168,72.000000,71.088168,0.074500,0.511097
建筑与工程,中高冲击,1.000000,0.820000,E214,***建筑工程有限公司,类B,64.916270,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.106500,0.705316
建筑与工程,中高冲击,1.000000,0.820000,E215,***建筑工程有限公司,类C,49.477345,高风险,否,,是,信用得分49.48 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
建筑与工程,中高冲击,1.000000,0.820000,E216,***建设工程有限公司,类B,66.388411,较低风险,否,,否,,放贷,57.194648,65.600000,57.194648,0.070500,0.458295
可选消费与门店经营,高冲击,1.300000,0.000000,E217,个体经营E217 ,类D,28.502897,高风险,是,最大作废率95.46% > 40%；进销匹配差异20.74 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
建筑与工程,中高冲击,1.300000,0.000000,E218,***建设工程有限公司,类C,47.494571,高风险,是,最大作废率40.95% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
文娱广告与线下服务,高冲击,1.300000,0.000000,E219,***品牌营销策划有限公司,类C,54.036434,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
文娱广告与线下服务,高冲击,1.000000,0.750000,E220,***文化传播有限公司,类A,74.081181,较低风险,否,,否,,放贷,57.504797,60.000000,57.504797,0.074500,0.511097
其他服务,中冲击,1.000000,0.900000,E221,***测绘服务有限公司,类A,74.828833,较低风险,否,,否,,放贷,69.611355,72.000000,69.611355,0.074500,0.511097
科技与线上服务,中冲击,1.250000,0.900000,E222,***数码科技有限公司,类B,65.198950,较低风险,否,,是,最大作废率25.65% > 25%,放贷,27.000000,27.000000,27.000000,0.070500,0.458295
科技与线上服务,中冲击,1.150000,0.900000,E223,***科技有限公司,类C,54.170684,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.150000,0.900000,E224,***纸业有限公司,类A,71.158055,较低风险,否,,否,,放贷,66.638025,72.000000,66.638025,0.074500,0.511097
其他服务,中冲击,1.000000,0.900000,E225,***物业服务有限责任公司***分公司,类A,78.511255,较低风险,否,,否,,放贷,72.000000,72.000000,72.000000,0.074500,0.511097
建筑与工程,中高冲击,1.300000,0.820000,E226,***建设工程有限公司,类C,55.541182,中风险,否,,否,,放贷,41.000000,41.000000,41.000000,0.110500,0.711101
其他服务,中冲击,1.000000,0.900000,E227,***安全技术有限公司,类A,73.545082,较低风险,否,,否,,放贷,68.571516,72.000000,68.571516,0.074500,0.511097
文娱广告与线下服务,高冲击,1.000000,0.750000,E228,***文化发展有限公司,类B,66.594447,较低风险,否,,否,,放贷,52.451252,60.000000,52.451252,0.070500,0.458295
普通批发商贸,中冲击,1.150000,0.900000,E229,***家贸易有限公司,类B,63.271036,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
建筑与工程,中高冲击,1.250000,0.820000,E230,***建筑劳务有限公司,类D,42.446907,高风险,否,,是,信用得分42.45 < 50,放贷,24.600000,24.600000,24.600000,0.122500,0.784481
科技与线上服务,中冲击,1.150000,0.900000,E231,***建筑科技有限公司,类C,55.664514,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.150000,0.900000,E232,***投资发展有限责任公司,类C,56.751856,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
其他服务,中冲击,1.450000,0.900000,E233,***劳务有限公司,类D,40.143502,高风险,否,,是,信用得分40.14 < 50,放贷,27.000000,27.000000,27.000000,0.122500,0.784481
制造与设备,中冲击,1.000000,0.900000,E234,***机电设备商贸有限公司,类B,60.520083,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.106500,0.705316
可选消费与门店经营,高冲击,1.000000,0.750000,E235,个体经营E235 ,类B,61.232262,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.106500,0.705316
可选消费与门店经营,高冲击,1.100000,0.000000,E236,个体经营E236 ,类D,41.902239,高风险,否,,是,信用得分41.90 < 50,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.100000,0.000000,E237,个体经营E237 ,类C,49.372991,高风险,否,,是,信用得分49.37 < 50；最大作废率25.08% > 25%,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E238,个体经营E238 ,类A,71.711696,较低风险,否,,否,,放贷,55.905395,60.000000,55.905395,0.074500,0.511097
可选消费与门店经营,高冲击,1.150000,0.000000,E239,个体经营E239 ,类C,53.640896,中风险,否,,是,高冲击行业且销项收入波动系数>1.5,高冲击高风险池暂停授信,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.500000,0.000000,E240,个体经营E240 ,类D,33.218854,高风险,是,最大作废率83.87% > 40%,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
可选消费与门店经营,高冲击,1.000000,0.750000,E241,个体经营E241 ,类C,53.927075,中风险,否,,否,,放贷,37.500000,37.500000,37.500000,0.110500,0.711101
可选消费与门店经营,高冲击,1.150000,0.000000,E242,个体经营E242 ,类D,31.825772,高风险,是,最大作废率93.16% > 40%；进销匹配差异11.25 > 4,否,,不放贷,0.000000,0.000000,0.000000,0.000000,0.000000
科技与线上服务,中冲击,1.000000,0.900000,E243,***科技有限公司,类C,55.350748,中风险,否,,否,,放贷,45.000000,45.000000,45.000000,0.110500,0.711101
