行业类别,冲击等级,脆弱性修正系数,企业代号,企业名称,估计信用等级,有效销项金额,有效进项金额,月均销项收入,毛利率,有效销项发票数,有效进项发票数,销项作废率,进项作废率,销项负数率,进项负数率,有效经营月份数,最长销项断档月数,销项收入波动系数,客户数,供应商数,客户集中度HHI,供应商集中度HHI,进销匹配差异,经营规模分,经营连续性分,交易真实性分,抗风险能力分,经营综合预评分,信用基础分,信用得分,风险得分,最大作废率,最大负数率,是否一票否决,一票否决原因,是否高风险池,高风险池原因,风险等级,分级依据指标
可选消费与门店经营,高冲击,1.150000,E124,个体经营E124 ,类A,485866140.928658,785525535.339999,19434645.637146,-0.173973,1099.000000,15264.000000,0.150039,0.123313,0.032483,0.019872,23.000000,2.000000,1.013550,52.000000,1403.000000,0.073443,0.031150,0.058973,80.802314,64.200690,73.090062,76.757386,73.914860,90.000000,75.664709,24.335291,0.150039,0.032483,否,,否,,较低风险,信用得分=75.66，有效销项金额=485866140.93，毛利率=-17.40%，有效经营月份=23.0，最大作废率=15.00%，最大负数率=3.25%，进销匹配差异=0.06，客户HHI=0.073，供应商HHI=0.031
可选消费与门店经营,高冲击,1.150000,E125,个体经营E125 ,类A,616493443.740962,932383246.020000,17614098.392599,-0.105620,1380.000000,17776.000000,0.134796,0.123817,0.026959,0.020012,34.000000,3.000000,1.097474,63.000000,1789.000000,0.059261,0.016835,0.009380,86.661143,77.035081,76.920560,78.450155,80.177284,90.000000,80.992473,19.007527,0.134796,0.026959,否,,否,,低风险,信用得分=80.99，有效销项金额=616493443.74，毛利率=-10.56%，有效经营月份=34.0，最大作废率=13.48%，最大负数率=2.70%，进销匹配差异=0.01，客户HHI=0.059，供应商HHI=0.017
可选消费与门店经营,高冲击,1.000000,E126,个体经营E126 ,类A,364483768.473999,112773465.190000,10124549.124278,0.683416,1264.000000,515.000000,0.166227,0.033771,0.021108,0.005629,34.000000,2.000000,0.962397,143.000000,72.000000,0.062628,0.294442,0.783416,87.268218,81.411153,59.852240,53.598566,72.216027,90.000000,72.782058,27.217942,0.166227,0.021108,否,,否,,较低风险,信用得分=72.78，有效销项金额=364483768.47，毛利率=68.34%，有效经营月份=34.0，最大作废率=16.62%，最大负数率=2.11%，进销匹配差异=0.78，客户HHI=0.063，供应商HHI=0.294
可选消费与门店经营,高冲击,1.000000,E127,个体经营E127 ,类A,456356568.170988,1646702.460000,12676571.338083,0.897474,3904.000000,1424.000000,0.030303,0.017931,0.000994,0.001379,34.000000,2.000000,1.191515,25.000000,297.000000,0.133780,0.062524,0.997474,75.592327,78.228965,78.094935,58.351480,73.428969,90.000000,74.737905,25.262095,0.030303,0.001379,否,,否,,较低风险,信用得分=74.74，有效销项金额=456356568.17，毛利率=89.75%，有效经营月份=34.0，最大作废率=3.03%，最大负数率=0.14%，进销匹配差异=1.00，客户HHI=0.134，供应商HHI=0.063
可选消费与门店经营,高冲击,1.350000,E128,个体经营E128 ,类B,144222140.315048,8928032.930000,4370367.888335,0.828167,1161.000000,3134.000000,0.074900,0.027312,0.000000,0.004966,33.000000,5.000000,2.215007,7.000000,532.000000,0.952254,0.026047,0.963167,58.308939,58.000000,71.913677,46.177441,59.206589,75.000000,60.891142,39.108858,0.074900,0.004966,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=60.89，有效销项金额=144222140.32，毛利率=82.82%，有效经营月份=33.0，最大作废率=7.49%，最大负数率=0.50%，进销匹配差异=0.96，客户HHI=0.952，供应商HHI=0.026
可选消费与门店经营,高冲击,1.000000,E129,个体经营E129 ,类A,227364222.833999,76126149.460000,6315672.856500,0.665626,5181.000000,5928.000000,0.109335,0.062915,0.014956,0.004584,34.000000,2.000000,0.852739,796.000000,1368.000000,0.010669,0.040716,0.765626,88.238582,82.934174,69.051245,99.336026,84.335134,90.000000,84.776497,15.223503,0.109335,0.014956,否,,否,,低风险,信用得分=84.78，有效销项金额=227364222.83，毛利率=66.56%，有效经营月份=34.0，最大作废率=10.93%，最大负数率=1.50%，进销匹配差异=0.77，客户HHI=0.011，供应商HHI=0.041
可选消费与门店经营,高冲击,1.150000,E130,个体经营E130 ,类B,72074020.736401,72445153.240000,3276091.851655,0.226627,1321.000000,3123.000000,0.044139,0.039373,0.015195,0.005537,29.000000,9.000000,2.249199,14.000000,517.000000,0.763920,0.046382,0.341627,58.884738,42.000000,85.562817,46.639345,58.883995,75.000000,61.339758,38.660242,0.044139,0.015195,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=61.34，有效销项金额=72074020.74，毛利率=22.66%，有效经营月份=29.0，最大作废率=4.41%，最大负数率=1.52%，进销匹配差异=0.34，客户HHI=0.764，供应商HHI=0.046
可选消费与门店经营,高冲击,1.000000,E131,个体经营E131 ,类A,146358822.253000,111348020.140000,4065522.840361,0.367448,3097.000000,6527.000000,0.071643,0.077717,0.012890,0.018369,34.000000,2.000000,0.571611,818.000000,906.000000,0.009754,0.064333,0.467448,78.136721,86.838736,78.183930,98.579071,84.412497,90.000000,85.163724,14.836276,0.077717,0.018369,否,,否,,低风险,信用得分=85.16，有效销项金额=146358822.25，毛利率=36.74%，有效经营月份=34.0，最大作废率=7.77%，最大负数率=1.84%，进销匹配差异=0.47，客户HHI=0.010，供应商HHI=0.064
可选消费与门店经营,高冲击,1.000000,E132,个体经营E132 ,类A,142350783.295002,64061771.730000,4186787.743971,0.584981,1659.000000,5050.000000,0.077308,0.021128,0.004449,0.001938,32.000000,2.000000,1.005697,99.000000,682.000000,0.026044,0.077028,0.684981,70.412352,77.809757,76.522362,80.569749,75.820685,90.000000,77.409580,22.590420,0.077308,0.004449,否,,否,,较低风险,信用得分=77.41，有效销项金额=142350783.30，毛利率=58.50%，有效经营月份=32.0，最大作废率=7.73%，最大负数率=0.44%，进销匹配差异=0.68，客户HHI=0.026，供应商HHI=0.077
可选消费与门店经营,高冲击,1.150000,E133,个体经营E133 ,类C,74444034.418900,39108647.880000,3722201.720945,0.540900,140.000000,1599.000000,0.176471,0.027964,0.017647,0.001216,33.000000,8.000000,1.903235,9.000000,282.000000,0.456317,0.072610,0.655900,56.279800,51.843962,61.168760,45.805974,54.298315,60.000000,54.892127,45.107873,0.176471,0.017647,否,,是,高冲击行业且销项收入波动系数>1.5,中风险,信用得分=54.89，有效销项金额=74444034.42，毛利率=54.09%，有效经营月份=33.0，最大作废率=17.65%，最大负数率=1.76%，进销匹配差异=0.66，客户HHI=0.456，供应商HHI=0.073
