企业代号,企业名称,行业类别,冲击等级,情景,脆弱性修正系数,脆弱性原因,收入下降率,毛利率下降幅度,波动系数上升率,经营月份减少数,调整前信用得分,信用得分,调整前风险等级,风险等级,调整前贷款额度_万元,最终贷款额度_万元,调整前贷款年利率,建议贷款年利率
E124,个体经营E124 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,80.756869,75.664709,低风险,较低风险,82.681182,58.573679,0.046500,0.074500
E125,个体经营E125 ,可选消费与门店经营,高冲击,base,1.150000,毛利率<5%,0.345000,0.115000,0.575000,2,86.169690,80.992473,低风险,低风险,87.552721,62.169919,0.046500,0.046500
E126,个体经营E126 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,73.909527,72.782058,较低风险,较低风险,76.518574,56.627889,0.074500,0.074500
E127,个体经营E127 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,76.077508,74.737905,较低风险,较低风险,78.469757,57.948086,0.074500,0.074500
E128,个体经营E128 ,可选消费与门店经营,高冲击,base,1.350000,客户集中度HHI>0.80；销项收入波动系数>1.00,0.405000,0.135000,0.675000,3,68.598418,60.891142,较低风险,中风险,71.738576,0.000000,0.070500,0.000000
E129,个体经营E129 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,85.802441,84.776497,低风险,低风险,87.222197,64.724135,0.046500,0.046500
E130,个体经营E130 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,68.353692,61.339758,较低风险,中风险,71.518323,0.000000,0.070500,0.000000
E131,个体经营E131 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,92.230228,85.163724,低风险,低风险,93.007205,64.985514,0.046500,0.046500
E132,个体经营E132 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,83.713538,77.409580,低风险,较低风险,85.342185,59.751466,0.046500,0.074500
E133,个体经营E133 ,可选消费与门店经营,高冲击,base,1.150000,销项收入波动系数>1.00,0.345000,0.115000,0.575000,2,62.489146,54.892127,中风险,中风险,50.000000,0.000000,0.106500,0.000000
E134,***工程咨询有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,74.225712,70.908988,较低风险,较低风险,76.803140,60.530833,0.074500,0.074500
E135,***建设工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,68.135745,64.533653,较低风险,中风险,71.322170,41.000000,0.070500,0.106500
E136,***机械有限责任公司,制造与设备,中冲击,base,1.350000,供应商集中度HHI>0.80；毛利率<5%,0.202500,0.067500,0.337500,1,64.290576,57.522124,中风险,中风险,50.000000,45.000000,0.106500,0.110500
E137,***建设工程有限公司,建筑与工程,中高冲击,base,1.150000,销项收入波动系数>1.00,0.253000,0.086250,0.437000,2,79.920546,74.144657,较低风险,较低风险,80.000000,62.918757,0.074500,0.074500
E138,个体经营E138 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,67.337497,63.581985,较低风险,中风险,70.603748,37.500000,0.070500,0.106500
E139,个体经营E139 ,可选消费与门店经营,高冲击,base,1.000000,,0.300000,0.100000,0.500000,2,75.102174,68.156472,较低风险,较低风险,77.591956,53.505619,0.074500,0.070500
E140,***建筑工程有限公司,建筑与工程,中高冲击,base,1.000000,,0.220000,0.075000,0.380000,2,69.436051,65.027388,较低风险,较低风险,72.492446,56.190213,0.070500,0.070500
E141,***食品有限公司,食品与基础民生,低冲击,base,1.000000,,0.050000,0.020000,0.100000,0,79.834524,79.325494,较低风险,较低风险,80.000000,80.000000,0.074500,0.074500
E142,***运业有限公司,其他服务,中冲击,base,1.000000,,0.150000,0.050000,0.250000,1,69.369218,69.332247,较低风险,较低风险,72.432296,65.159120,0.070500,0.074500
