日期类型,K,SSE,轮廓系数,CH指数,DB指数,标签切换次数,随机种子稳定性ARI,入选
工作日,3,315.2037825978643,0.5248581393907874,315.9928237724311,0.7460895704518942,8,1.0,True
工作日,4,273.8987321824521,0.49777927674157446,247.74871582690145,1.0460867443243496,8,0.9250011934898628,False
工作日,5,241.29925802397838,0.3360875449903904,214.10281658857377,1.2366831849057602,22,0.7154061449527047,False
工作日,6,211.37003947759518,0.32797543674226043,198.03651933771516,1.2249440288451785,19,0.7979160967435246,False
工作日,7,186.45256806350397,0.36750056049488716,188.78080751648127,1.082030498968397,15,0.8050889544087114,False
工作日,8,163.45322751309683,0.3972482181597957,185.96701444862637,1.0258982474372182,16,0.8605265831925666,False
周末及普通休息日,3,312.75530625000215,0.49543857889769033,319.01857111776565,0.7989198171790223,4,0.9984572113134611,True
周末及普通休息日,4,254.19114972546149,0.3713253915628502,270.57490561897356,1.1224347575492573,10,0.9957536520433885,False
周末及普通休息日,5,223.49534064212384,0.37259526545173327,233.9267421078052,1.110246362856235,8,0.9677437577960535,False
周末及普通休息日,6,200.86996177458983,0.342438549190886,209.83121957438033,1.1503328922530633,14,0.7897600823482098,False
周末及普通休息日,7,184.51907103999457,0.3418035050061666,190.9982222756146,1.1550262502541297,15,0.7525095172955191,False
周末及普通休息日,8,169.0247396903149,0.3196539930489513,179.19662089583437,1.1939607680757023,17,0.8601793119859354,False
五一节假日,3,324.5304885243931,0.50051061222918,304.88537766951043,0.7474483239015327,4,1.0,True
五一节假日,4,272.6765218943985,0.3436220341282581,249.06836559705752,1.294501206545591,12,1.0,False
五一节假日,5,243.8664189775992,0.3506494278503396,211.48316425340147,1.2180025935919876,13,0.9293752580394887,False
五一节假日,6,219.36924453788384,0.3417915638258229,189.8087808000074,1.2828402580361804,33,0.8861519164393051,False
五一节假日,7,203.89784226451673,0.3282947077509816,170.67533533032872,1.3330374284678779,38,0.8533725326817686,False
五一节假日,8,189.754175890856,0.2819845068846951,157.49808260133457,1.3699933695173667,38,0.8381442776292387,False
