日期类型,时段编号,相位,平均每10分钟流量,方向,转向
五一节假日,1,东向西-直行,5.7433133241580085,东向西,直行
五一节假日,2,东向西-直行,26.659099184295968,东向西,直行
五一节假日,3,东向西-直行,48.520634187958905,东向西,直行
五一节假日,4,东向西-直行,32.69035954637926,东向西,直行
周末及普通休息日,1,东向西-直行,6.449628544435447,东向西,直行
周末及普通休息日,2,东向西-直行,31.804057679501927,东向西,直行
周末及普通休息日,3,东向西-直行,64.10908560338095,东向西,直行
周末及普通休息日,4,东向西-直行,41.15309799708636,东向西,直行
周末及普通休息日,5,东向西-直行,19.089505789977967,东向西,直行
工作日,1,东向西-直行,4.991754251745225,东向西,直行
工作日,2,东向西-直行,46.42401706074422,东向西,直行
工作日,3,东向西-直行,30.188856202434653,东向西,直行
工作日,4,东向西-直行,45.185747274645486,东向西,直行
工作日,5,东向西-直行,26.18001115647283,东向西,直行
工作日,6,东向西-直行,50.6364510115558,东向西,直行
工作日,7,东向西-直行,24.087677473376925,东向西,直行
工作日,8,东向西-直行,15.446523595081558,东向西,直行
五一节假日,1,东向西-左转,1.3403219843570062,东向西,左转
五一节假日,2,东向西-左转,3.7384788348116134,东向西,左转
五一节假日,3,东向西-左转,21.05500241014412,东向西,左转
五一节假日,4,东向西-左转,10.661610295580422,东向西,左转
周末及普通休息日,1,东向西-左转,1.4722733399915937,东向西,左转
周末及普通休息日,2,东向西-左转,4.632316444383372,东向西,左转
周末及普通休息日,3,东向西-左转,19.1992074706146,东向西,左转
周末及普通休息日,4,东向西-左转,12.218967398824525,东向西,左转
周末及普通休息日,5,东向西-左转,4.532501058576951,东向西,左转
工作日,1,东向西-左转,0.996989456981605,东向西,左转
工作日,2,东向西-左转,9.49078833692023,东向西,左转
工作日,3,东向西-左转,2.5040670878474667,东向西,左转
工作日,4,东向西-左转,10.932069173769865,东向西,左转
工作日,5,东向西-左转,3.278007108142901,东向西,左转
工作日,6,东向西-左转,12.18901312344341,东向西,左转
工作日,7,东向西-左转,6.947079428305677,东向西,左转
工作日,8,东向西-左转,3.8067366540955114,东向西,左转
五一节假日,1,东向西-右转,6.531749306869601,东向西,右转
五一节假日,2,东向西-右转,26.562421980892417,东向西,右转
五一节假日,3,东向西-右转,40.644116488316726,东向西,右转
五一节假日,4,东向西-右转,22.762315872326024,东向西,右转
周末及普通休息日,1,东向西-右转,5.54997311557296,东向西,右转
周末及普通休息日,2,东向西-右转,34.7636258761147,东向西,右转
周末及普通休息日,3,东向西-右转,42.32504025933778,东向西,右转
周末及普通休息日,4,东向西-右转,24.436267937422446,东向西,右转
周末及普通休息日,5,东向西-右转,11.09674315144508,东向西,右转
工作日,1,东向西-右转,4.86709153154777,东向西,右转
工作日,2,东向西-右转,47.979604540223754,东向西,右转
工作日,3,东向西-右转,22.473743376384547,东向西,右转
工作日,4,东向西-右转,33.03478372208764,东向西,右转
工作日,5,东向西-右转,12.150677387558183,东向西,右转
工作日,6,东向西-右转,28.214061556700404,东向西,右转
工作日,7,东向西-右转,14.48698222875218,东向西,右转
工作日,8,东向西-右转,9.775725258069306,东向西,右转
五一节假日,1,西向东-直行,6.032757292105387,西向东,直行
五一节假日,2,西向东-直行,26.350678804188544,西向东,直行
五一节假日,3,西向东-直行,50.11632723750075,西向东,直行
五一节假日,4,西向东-直行,25.093291361913426,西向东,直行
周末及普通休息日,1,西向东-直行,5.953127924537371,西向东,直行
周末及普通休息日,2,西向东-直行,25.258202557461566,西向东,直行
周末及普通休息日,3,西向东-直行,41.61683168651767,西向东,直行
周末及普通休息日,4,西向东-直行,27.78401580485701,西向东,直行
周末及普通休息日,5,西向东-直行,17.38719441005957,西向东,直行
工作日,1,西向东-直行,4.631945760281528,西向东,直行
工作日,2,西向东-直行,31.709091171181313,西向东,直行
工作日,3,西向东-直行,15.606967416354907,西向东,直行
工作日,4,西向东-直行,37.388728952866316,西向东,直行
工作日,5,西向东-直行,18.301495763698572,西向东,直行
工作日,6,西向东-直行,42.393038135987986,西向东,直行
工作日,7,西向东-直行,23.4969016865266,西向东,直行
工作日,8,西向东-直行,15.156599156775544,西向东,直行
五一节假日,1,西向东-左转,2.3256611422106843,西向东,左转
五一节假日,2,西向东-左转,8.894517477642498,西向东,左转
五一节假日,3,西向东-左转,14.633357179478118,西向东,左转
五一节假日,4,西向东-左转,8.399995260782177,西向东,左转
周末及普通休息日,1,西向东-左转,2.4728111097321004,西向东,左转
周末及普通休息日,2,西向东-左转,12.202387601685206,西向东,左转
周末及普通休息日,3,西向东-左转,20.68241011505659,西向东,左转
周末及普通休息日,4,西向东-左转,7.898179312102743,西向东,左转
周末及普通休息日,5,西向东-左转,6.1263077005156505,西向东,左转
工作日,1,西向东-左转,1.951167793072647,西向东,左转
工作日,2,西向东-左转,12.444580013430993,西向东,左转
工作日,3,西向东-左转,9.149389286507638,西向东,左转
工作日,4,西向东-左转,14.090043234062772,西向东,左转
工作日,5,西向东-左转,5.821854405476745,西向东,左转
工作日,6,西向东-左转,13.333608519825445,西向东,左转
工作日,7,西向东-左转,7.0079042149773745,西向东,左转
工作日,8,西向东-左转,3.956541547209145,西向东,左转
五一节假日,1,西向东-右转,1.4928636169659795,西向东,右转
五一节假日,2,西向东-右转,5.874803718168963,西向东,右转
五一节假日,3,西向东-右转,10.065130397835954,西向东,右转
五一节假日,4,西向东-右转,3.5209990915901117,西向东,右转
周末及普通休息日,1,西向东-右转,1.682394299063862,西向东,右转
周末及普通休息日,2,西向东-右转,7.339409840853226,西向东,右转
周末及普通休息日,3,西向东-右转,12.927424865092403,西向东,右转
周末及普通休息日,4,西向东-右转,4.006693771929139,西向东,右转
周末及普通休息日,5,西向东-右转,2.8198312227581113,西向东,右转
工作日,1,西向东-右转,1.1537285519089826,西向东,右转
工作日,2,西向东-右转,4.651523620582496,西向东,右转
工作日,3,西向东-右转,2.773946327440484,西向东,右转
工作日,4,西向东-右转,8.30732406975541,西向东,右转
工作日,5,西向东-右转,1.603922558097411,西向东,右转
工作日,6,西向东-右转,6.674179790467557,西向东,右转
工作日,7,西向东-右转,3.280908384210313,西向东,右转
工作日,8,西向东-右转,2.583828992985009,西向东,右转
