日期类型,半小时序号,相位,平均流量,标准差,有效日期数
五一节假日,0,东向西-右转,14.391061452513966,3.150758745388079,5
五一节假日,0,东向西-左转,4.557169459962756,0.9977402693728917,5
五一节假日,0,东向西-直行,13.251769087523277,2.901323678044857,5
五一节假日,0,北向南-右转,7.56931608133087,1.4587950969483812,5
五一节假日,0,北向南-左转,7.5046210720887245,1.4463267627864298,5
五一节假日,0,北向南-直行,19.92606284658041,3.8402469218812083,5
五一节假日,0,南向北-右转,1.465615141955836,0.4425272753128945,5
五一节假日,0,南向北-左转,2.1665615141955836,0.6541707548103658,5
五一节假日,0,南向北-直行,16.56782334384858,5.002482242667504,5
五一节假日,0,西向东-右转,1.6094117647058823,0.23623341925668018,5
五一节假日,0,西向东-左转,5.632941176470589,0.8268169673983805,5
五一节假日,0,西向东-直行,15.557647058823528,2.2835897194812427,5
五一节假日,1,东向西-右转,10.721739130434782,2.6625953482754094,5
五一节假日,1,东向西-左转,3.812173913043478,0.9467005682757008,5
五一节假日,1,东向西-直行,12.866086956521741,3.1951144179304904,5
五一节假日,1,北向南-右转,4.223999999999999,0.633697499423521,5
五一节假日,1,北向南-左转,9.536,1.4306201123349178,5
五一节假日,1,北向南-直行,16.64,2.496384088638112,5
五一节假日,1,南向北-右转,1.8237547892720307,0.5522560228881914,5
五一节假日,1,南向北-左转,0.9770114942528736,0.29585144083295967,5
五一节假日,1,南向北-直行,14.199233716475097,4.29970760677235,5
五一节假日,1,西向东-右转,3.0,0.8249579113843054,5
五一节假日,1,西向东-左转,3.0,0.8249579113843054,5
五一节假日,1,西向东-直行,12.000000000000002,3.2998316455372216,5
五一节假日,2,东向西-右转,11.726177024482109,2.525586839302835,5
五一节假日,2,东向西-左转,4.174764595103578,0.8991618066627894,5
五一节假日,2,东向西-直行,16.699058380414314,3.5966472266511595,5
五一节假日,2,北向南-右转,4.703687635574838,1.0109455975796904,5
五一节假日,2,北向南-左转,7.658568329718004,1.6460268063156487,5
五一节假日,2,北向南-直行,15.437744034707157,3.3179752946205228,5
五一节假日,2,南向北-右转,0.694296577946768,0.2588429397938005,5
五一节假日,2,南向北-左转,0.7574144486692015,0.28237411613869146,5
五一节假日,2,南向北-直行,15.14828897338403,5.647482322773827,5
五一节假日,2,西向东-右转,2.9333333333333336,0.6305300956788703,5
五一节假日,2,西向东-左转,4.0,0.8598137668348229,5
五一节假日,2,西向东-直行,16.46666666666667,3.5395666734700226,5
五一节假日,3,东向西-右转,11.31523545706371,4.986164358242194,5
五一节假日,3,东向西-左转,1.9678670360110808,0.8671590188247296,5
五一节假日,3,东向西-直行,8.916897506925206,3.929314304049555,5
五一节假日,3,北向南-右转,6.16235294117647,2.2128232760912185,5
五一节假日,3,北向南-左转,6.607058823529412,2.3725115537472856,5
五一节假日,3,北向南-直行,14.230588235294118,5.110024884994152,5
五一节假日,3,南向北-右转,0.4581497797356828,0.0557229543642005,5
五一节假日,3,南向北-左转,0.4008810572687224,0.04875758506867542,5
五一节假日,3,南向北-直行,12.140969162995596,1.476658290651314,5
五一节假日,3,西向东-右转,1.0187265917602997,0.42584780235361475,5
五一节假日,3,西向东-左转,4.584269662921348,1.9163151105912666,5
五一节假日,3,西向东-直行,11.397003745318353,4.764172288831065,5
五一节假日,4,东向西-右转,11.228717948717948,3.0466407277304413,5
五一节假日,4,东向西-左转,2.441025641025641,0.6623132016805308,5
五一节假日,4,东向西-直行,10.130256410256411,2.7485997869742027,5
五一节假日,4,北向南-右转,3.5235457063711912,0.85606772971413,5
五一节假日,4,北向南-左转,8.509695290858726,2.0674843283661994,5
五一节假日,4,北向南-直行,11.966759002770083,2.9073998367649687,5
五一节假日,4,南向北-右转,0.9098039215686274,0.2860326671185956,5
五一节假日,4,南向北-左转,0.22745098039215686,0.07150816677964891,5
五一节假日,4,南向北-直行,10.462745098039218,3.289375671863849,5
五一节假日,4,西向东-右转,1.6271186440677965,0.5135341494082413,5
五一节假日,4,西向东-左转,2.983050847457627,0.941479273915109,5
五一节假日,4,西向东-直行,11.389830508474576,3.594739045857688,5
五一节假日,5,东向西-右转,10.34435695538058,2.712632011138992,5
五一节假日,5,东向西-左转,2.477690288713911,0.649732218236884,5
五一节假日,5,东向西-直行,10.777952755905513,2.826335149330446,5
五一节假日,5,北向南-右转,4.274534161490683,0.956939087785005,5
五一节假日,5,北向南-左转,7.445962732919256,1.6669261529158153,5
五一节假日,5,北向南-直行,10.479503105590062,2.346044215214851,5
五一节假日,5,南向北-右转,0.45847953216374265,0.10142448368972538,5
五一节假日,5,南向北-左转,0.6304093567251462,0.13945866507337237,5
五一节假日,5,南向北-直行,8.71111111111111,1.9270651901047817,5
五一节假日,5,西向东-右转,1.741176470588235,0.41925952191071675,5
五一节假日,5,西向东-左转,3.2336134453781513,0.7786248264056167,5
五一节假日,5,西向东-直行,9.825210084033614,2.365821587924759,5
五一节假日,6,东向西-右转,7.410526315789474,2.6415809922287368,5
五一节假日,6,东向西-左转,3.010526315789474,1.0731422780929245,5
五一节假日,6,东向西-直行,11.578947368421051,4.1274703003574,5
五一节假日,6,北向南-右转,3.8400000000000007,0.9736529155710468,5
五一节假日,6,北向南-左转,5.211428571428572,1.3213860997035634,5
五一节假日,6,北向南-直行,10.14857142857143,2.5732255625806237,5
五一节假日,6,南向北-右转,0.43076923076923074,0.11235334512926486,5
五一节假日,6,南向北-左转,0.6461538461538463,0.1685300176938973,5
五一节假日,6,南向北-直行,7.323076923076923,1.9100068671975026,5
五一节假日,6,西向东-右转,0.5333333333333333,0.14504754485877897,5
五一节假日,6,西向东-左转,4.0,1.0878565864408423,5
五一节假日,6,西向东-直行,8.466666666666667,2.302629774633116,5
五一节假日,7,东向西-右转,7.397402597402598,1.2943303066927745,5
五一节假日,7,东向西-左转,2.0805194805194804,0.3640303987573427,5
五一节假日,7,东向西-直行,8.322077922077922,1.4561215950293709,5
五一节假日,7,北向南-右转,2.2816666666666667,0.2965455042841,5
五一节假日,7,北向南-左转,4.378333333333333,0.5690467784911106,5
五一节假日,7,北向南-直行,8.14,1.0579461233919238,5
五一节假日,7,南向北-右转,1.0,0.21320071635561053,5
五一节假日,7,南向北-左转,0.8125,0.17322558203893348,5
五一节假日,7,南向北-直行,9.1875,1.9587815815171703,5
五一节假日,7,西向东-右转,1.7872340425531914,0.8998012959059788,5
五一节假日,7,西向东-左转,1.2765957446808511,0.6427152113614134,5
五一节假日,7,西向东-直行,8.936170212765957,4.499006479529892,5
五一节假日,8,东向西-右转,5.022784810126582,1.5583095948695773,5
五一节假日,8,东向西-左转,1.0464135021097047,0.32464783226449523,5
五一节假日,8,东向西-直行,6.330801687763713,1.9641193852001952,5
五一节假日,8,北向南-右转,1.1883116883116884,0.4537330402150176,5
五一节假日,8,北向南-左转,3.4064935064935065,1.300701381949717,5
五一节假日,8,北向南-直行,7.605194805194804,2.903891457376112,5
五一节假日,8,南向北-右转,0.5128205128205128,0.15806189751202504,5
五一节假日,8,南向北-左转,0.2564102564102564,0.07903094875601253,5
五一节假日,8,南向北-直行,9.230769230769232,2.8451141552164514,5
五一节假日,8,西向东-右转,0.8146788990825689,0.40149539512977184,5
五一节假日,8,西向东-左转,0.5431192660550459,0.2676635967531812,5
五一节假日,8,西向东-直行,6.042201834862385,2.977757513879141,5
五一节假日,9,东向西-右转,5.746086956521739,2.631368141989401,5
五一节假日,9,东向西-左转,1.4365217391304348,0.65784203549735,5
五一节假日,9,东向西-直行,4.6173913043478265,2.114492256955768,5
五一节假日,9,北向南-右转,0.7375,0.3042665361159521,5
五一节假日,9,北向南-左转,3.6875,1.5213326805797607,5
五一节假日,9,北向南-直行,7.375,3.0426653611595214,5
五一节假日,9,南向北-右转,0.533428991798622,0.3536390851861762,5
五一节假日,9,南向北-左转,0.19364623848577986,0.12837862148615264,5
五一节假日,9,南向北-直行,3.8729247697155977,2.5675724297230524,5
五一节假日,9,西向东-右转,2.2114285714285713,0.7628089872441253,5
五一节假日,9,西向东-左转,1.2285714285714284,0.4237827706911807,5
五一节假日,9,西向东-直行,5.16,1.7798876369029588,5
五一节假日,10,东向西-右转,3.539568345323741,0.9843241079992558,5
五一节假日,10,东向西-左转,0.943884892086331,0.2624864287998015,5
五一节假日,10,东向西-直行,3.716546762589928,1.0335403133992185,5
五一节假日,10,北向南-右转,3.781818181818182,0.6446118573942603,5
五一节假日,10,北向南-左转,3.418181818181818,0.5826299480294272,5
五一节假日,10,北向南-直行,9.6,1.6363224072315832,5
五一节假日,10,南向北-右转,0.23945578231292508,0.08026057797960613,5
五一节假日,10,南向北-左转,0.23945578231292508,0.08026057797960613,5
五一节假日,10,南向北-直行,8.32108843537415,2.789055084791313,5
五一节假日,10,西向东-右转,1.794871794871795,0.8513824469684099,5
五一节假日,10,西向东-左转,1.5384615384615388,0.7297563831157801,5
五一节假日,10,西向东-直行,6.666666666666666,3.1622776601683795,5
五一节假日,11,东向西-右转,5.935135135135136,4.260577435941662,5
五一节假日,11,东向西-左转,0.6594594594594595,0.4733974928824069,5
五一节假日,11,东向西-直行,5.6054054054054046,4.0238786895004575,5
五一节假日,11,北向南-右转,1.75,0.8425417160057281,5
五一节假日,11,北向南-左转,4.6899999999999995,2.2580117988953505,5
五一节假日,11,北向南-直行,6.159999999999999,2.9657468403401617,5
五一节假日,11,南向北-右转,0.587966421885431,0.3698631549639478,5
五一节假日,11,南向北-左转,0.12969901850773402,0.08158780228838544,5
五一节假日,11,南向北-直行,4.482334559606835,2.8196344895068925,5
五一节假日,11,西向东-右转,0.9846153846153847,0.2999013644556604,5
五一节假日,11,西向东-左转,1.476923076923077,0.4498520466834907,5
五一节假日,11,西向东-直行,3.9384615384615387,1.1996054578226416,5
五一节假日,12,东向西-右转,5.675138121546962,2.9734830240345738,5
五一节假日,12,东向西-左转,0.8486187845303867,0.44463297555657166,5
五一节假日,12,东向西-直行,3.0762430939226517,1.611794536392572,5
五一节假日,12,北向南-右转,2.566233766233766,0.8476252382052876,5
五一节假日,12,北向南-左转,2.7012987012987013,0.8922370928476714,5
五一节假日,12,北向南-直行,5.132467532467532,1.6952504764105751,5
五一节假日,12,南向北-右转,0.696,0.392530253611107,5
五一节假日,12,南向北-左转,0.696,0.392530253611107,5
五一节假日,12,南向北-直行,4.4079999999999995,2.4860249395370113,5
