日期类型,时段编号,交叉口,版本,周期_C,南北绿灯,东西绿灯,最大饱和度,总交叉口延误_秒车,右转行人冲突系数
五一节假日,1,I01,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I02,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I03,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I04,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I05,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I06,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I07,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I08,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I09,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I10,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I11,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,1,I12,2,60,20,30,0.0974111822188587,1357.756143934082,0.75
五一节假日,2,I01,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I02,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I03,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I04,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I05,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I06,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I07,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I08,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I09,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I10,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I11,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,2,I12,2,60,20,30,0.4573889523654966,6749.715496977728,0.75
五一节假日,3,I01,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I02,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I03,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I04,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I05,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I06,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I07,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I08,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I09,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I10,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I11,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,3,I12,2,60,20,30,0.5716654634475297,10944.854118335476,0.75
五一节假日,4,I01,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I02,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I03,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I04,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I05,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I06,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I07,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I08,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I09,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I10,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I11,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
五一节假日,4,I12,2,60,20,30,0.26832722579245155,4906.586306484474,0.75
周末及普通休息日,1,I01,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I02,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I03,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I04,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I05,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I06,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I07,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I08,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I09,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I10,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I11,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
周末及普通休息日,1,I12,2,60,20,30,0.09960860501506413,1372.4165118787491,0.75
