t(s),T_pred(°C),residual(°C)
19.000000,25.061651,4.968349
19.500000,25.130918,5.349082
20.000000,25.264516,5.685484
20.500000,25.507425,5.932575
21.000000,25.919950,6.030050
21.500000,26.556678,5.933322
22.000000,27.433977,5.616023
22.500000,28.517095,5.112905
23.000000,29.743036,4.486964
23.500000,31.052006,3.797994
24.000000,32.401798,3.088202
24.500000,33.767054,2.382946
25.000000,35.133835,1.706165
25.500000,36.494849,1.055151
26.000000,37.846402,0.433598
26.500000,39.186677,-0.166677
27.000000,40.514818,-0.724818
27.500000,41.830455,-1.250455
28.000000,43.133466,-1.743466
28.500000,44.423850,-2.193850
29.000000,45.701669,-2.621669
29.500000,46.967015,-3.027015
30.000000,48.219992,-3.389992
30.500000,49.460716,-3.720716
31.000000,50.689302,-4.029302
31.500000,51.905865,-4.305865
32.000000,53.110524,-4.560524
32.500000,54.303395,-4.793395
33.000000,55.484591,-4.994591
33.500000,56.654228,-5.174228
34.000000,57.812418,-5.332418
34.500000,58.959273,-5.479273
35.000000,60.094905,-5.604905
35.500000,61.219423,-5.709423
36.000000,62.332936,-5.802936
36.500000,63.435552,-5.875552
37.000000,64.527377,-5.937377
37.500000,65.608516,-5.998516
38.000000,66.679075,-6.039075
38.500000,67.739157,-6.069157
39.000000,68.788865,-6.088865
39.500000,69.828300,-6.098300
40.000000,70.857562,-6.107562
40.500000,71.876751,-6.106751
41.000000,72.885966,-6.095966
41.500000,73.885305,-6.085305
42.000000,74.874863,-6.064863
42.500000,75.854737,-6.044737
43.000000,76.825022,-6.015022
43.500000,77.785811,-5.985811
44.000000,78.737197,-5.947197
44.500000,79.679272,-5.909272
45.000000,80.612128,-5.862128
45.500000,81.535854,-5.825854
46.000000,82.450540,-5.780540
46.500000,83.356275,-5.726275
47.000000,84.253146,-5.683146
47.500000,85.141239,-5.631239
48.000000,86.020642,-5.580642
48.500000,86.891438,-5.521438
49.000000,87.753712,-5.473712
49.500000,88.607547,-5.417547
50.000000,89.453026,-5.363026
50.500000,90.290231,-5.300231
51.000000,91.119243,-5.249243
51.500000,91.940141,-5.190141
52.000000,92.753006,-5.133006
52.500000,93.557916,-5.077916
53.000000,94.354948,-5.014948
53.500000,95.144181,-4.964181
54.000000,95.925689,-4.905689
54.500000,96.699549,-4.849549
55.000000,97.465836,-4.785836
55.500000,98.224624,-4.734624
56.000000,98.975986,-4.675986
56.500000,99.719994,-4.619994
57.000000,100.456722,-4.556722
57.500000,101.186239,-4.506239
58.000000,101.908617,-4.448617
58.500000,102.623925,-4.393925
59.000000,103.332233,-4.342233
59.500000,104.033610,-4.283610
60.000000,104.728122,-4.228122
60.500000,105.415837,-4.175837
61.000000,106.096822,-4.126822
61.500000,106.771143,-4.071143
62.000000,107.438864,-4.018864
62.500000,108.100051,-3.970051
63.000000,108.754766,-3.914766
63.500000,109.403075,-3.863075
64.000000,110.045039,-3.815039
64.500000,110.680720,-3.770720
65.000000,111.310181,-3.720181
65.500000,111.933481,-3.673481
66.000000,112.550681,-3.620681
66.500000,113.161841,-3.571841
67.000000,113.767019,-3.527019
67.500000,114.366276,-3.476276
68.000000,114.959667,-3.439667
68.500000,115.547252,-3.387252
69.000000,116.129086,-3.339086
69.500000,116.705225,-3.295225
70.000000,117.275727,-3.255727
70.500000,117.840645,-3.210645
71.000000,118.400035,-3.170035
71.500000,118.953950,-3.123950
72.000000,119.502444,-3.082444
72.500000,120.045571,-3.045571
73.000000,120.583382,-3.003382
73.500000,121.115930,-2.965930
74.000000,121.643266,-2.923266
74.500000,122.165442,-2.885442
75.000000,122.682507,-2.842507
75.500000,123.194511,-2.804511
76.000000,123.701506,-2.771506
76.500000,124.203538,-2.733538
77.000000,124.700657,-2.690657
77.500000,125.192911,-2.652911
78.000000,125.680348,-2.620348
78.500000,126.163015,-2.583015
79.000000,126.640958,-2.550958
79.500000,127.114223,-2.514223
80.000000,127.582857,-2.482857
80.500000,128.046905,-2.446905
81.000000,128.506411,-2.416411
81.500000,128.961420,-2.381420
82.000000,129.411976,-2.351976
82.500000,129.858123,-2.318123
83.000000,130.299904,-2.279904
83.500000,130.737361,-2.247361
84.000000,131.170537,-2.220537
84.500000,131.599474,-2.189474
85.000000,132.024213,-2.164213
85.500000,132.444795,-2.134795
86.000000,132.861262,-2.101262
86.500000,133.273652,-2.073652
87.000000,133.682007,-2.042007
87.500000,134.086365,-2.016365
88.000000,134.486766,-1.986766
88.500000,134.883249,-1.953249
89.000000,135.275851,-1.925851
89.500000,135.664611,-1.904611
90.000000,136.049567,-1.879567
90.500000,136.430755,-1.850755
91.000000,136.808213,-1.828213
91.500000,137.181976,-1.801976
92.000000,137.552082,-1.772082
92.500000,137.918566,-1.748566
93.000000,138.281463,-1.721463
93.500000,138.640809,-1.700809
94.000000,138.996638,-1.676638
94.500000,139.348985,-1.648985
95.000000,139.697883,-1.627883
95.500000,140.043367,-1.603367
96.000000,140.385470,-1.585470
96.500000,140.724225,-1.564225
97.000000,141.059664,-1.539664
97.500000,141.391821,-1.511821
98.000000,141.720728,-1.490728
98.500000,142.046415,-1.476415
99.000000,142.368915,-1.448915
99.500000,142.688259,-1.428259
100.000000,143.004478,-1.414478
100.500000,143.317601,-1.387601
101.000000,143.627661,-1.367661
101.500000,143.934686,-1.344686
102.000000,144.238707,-1.328707
102.500000,144.539752,-1.309752
103.000000,144.837851,-1.287851
103.500000,145.133032,-1.273032
104.000000,145.425325,-1.255325
104.500000,145.714758,-1.234758
105.000000,146.001357,-1.221357
105.500000,146.285152,-1.195152
106.000000,146.566170,-1.186170
106.500000,146.844437,-1.164437
107.000000,147.119981,-1.149981
107.500000,147.392829,-1.132829
108.000000,147.663006,-1.113006
108.500000,147.930539,-1.100539
109.000000,148.195454,-1.085454
109.500000,148.457776,-1.067776
110.000000,148.717531,-1.047531
110.500000,148.974744,-1.034744
111.000000,149.229440,-1.019440
111.500000,149.481643,-1.001643
112.000000,149.731377,-0.991377
112.500000,149.978668,-0.978668
113.000000,150.223538,-0.963538
113.500000,150.466012,-0.946012
114.000000,150.706113,-0.926113
114.500000,150.943864,-0.913864
115.000000,151.179288,-0.899288
115.500000,151.412409,-0.892409
116.000000,151.643247,-0.873247
116.500000,151.871826,-0.861826
117.000000,152.098169,-0.848169
117.500000,152.322295,-0.832295
118.000000,152.544229,-0.824229
118.500000,152.763990,-0.813990
119.000000,152.981600,-0.801600
119.500000,153.197080,-0.787080
120.000000,153.410452,-0.770452
120.500000,153.621734,-0.761734
121.000000,153.830949,-0.750949
121.500000,154.038116,-0.738116
122.000000,154.243255,-0.723255
122.500000,154.446386,-0.716386
123.000000,154.647529,-0.707529
123.500000,154.846703,-0.696703
124.000000,155.043927,-0.683927
124.500000,155.239220,-0.669220
125.000000,155.432602,-0.662602
125.500000,155.624090,-0.654090
126.000000,155.813704,-0.643704
126.500000,156.001461,-0.631461
127.000000,156.187380,-0.617380
127.500000,156.371479,-0.611479
128.000000,156.553775,-0.603775
128.500000,156.734285,-0.594285
129.000000,156.913029,-0.583029
129.500000,157.090022,-0.570022
130.000000,157.265281,-0.565281
130.500000,157.438824,-0.558824
131.000000,157.610667,-0.540667
131.500000,157.780827,-0.540827
132.000000,157.949320,-0.529320
132.500000,158.116162,-0.516162
133.000000,158.281370,-0.511370
133.500000,158.444959,-0.504959
134.000000,158.606945,-0.496945
134.500000,158.767343,-0.487343
135.000000,158.926170,-0.476170
135.500000,159.083440,-0.473440
136.000000,159.239167,-0.459167
136.500000,159.393369,-0.453369
137.000000,159.546058,-0.446058
137.500000,159.697249,-0.437249
138.000000,159.846958,-0.426958
138.500000,159.995199,-0.425199
139.000000,160.141984,-0.411984
139.500000,160.287330,-0.407330
140.000000,160.431249,-0.401249
140.500000,160.573756,-0.393756
141.000000,160.714863,-0.384863
141.500000,160.854585,-0.384585
142.000000,160.992934,-0.372934
142.500000,161.129925,-0.369925
143.000000,161.265569,-0.365569
143.500000,161.399880,-0.359880
144.000000,161.532871,-0.352871
144.500000,161.664555,-0.344555
145.000000,161.794943,-0.334943
145.500000,161.924048,-0.334048
146.000000,162.051883,-0.321883
146.500000,162.178459,-0.318459
147.000000,162.303789,-0.313789
147.500000,162.427885,-0.307885
148.000000,162.550757,-0.300757
148.500000,162.672419,-0.292419
149.000000,162.792881,-0.292881
149.500000,162.912155,-0.282155
150.000000,163.030252,-0.280252
150.500000,163.147183,-0.277183
151.000000,163.262959,-0.272959
151.500000,163.377592,-0.267592
152.000000,163.491091,-0.261091
152.500000,163.603468,-0.253468
153.000000,163.714734,-0.244734
153.500000,163.824898,-0.244898
154.000000,163.933971,-0.233971
154.500000,164.041964,-0.231964
155.000000,164.148886,-0.228886
155.500000,164.254748,-0.224748
156.000000,164.359559,-0.219559
156.500000,164.463329,-0.213329
157.000000,164.566069,-0.206069
157.500000,164.667787,-0.207787
158.000000,164.768494,-0.198494
158.500000,164.868198,-0.198198
159.000000,164.966909,-0.196909
159.500000,165.064637,-0.184637
